source_id,angular_distance,number_of_neighbours,gaia_astrometric_params,table2_oid,ra,dec,ep,vmag,sptype,dist,pmra,pmde,simbadname,original_ext_source_id
241393040535105280,0.0051330401116417975,1,5,242,50.88958333333333,43.95722222222223,2000,8.98,"K2     ",25.5,0.12,-0.33,HIP15797,15797.0
922950955371956608,0.0035795242286772093,1,5,562,121.0945833333333,43.961666666666666,2000,9.83,"M0     ",25.3,0.15,-0.02,HIP39494,39494.0
806000816970521728,0.004752617285095538,1,5,700,154.71666666666667,44.04805555555556,2000,6.66,"G5     ",20.6,0.06,-0.3,HIP50505,50505.0
2067050940754838656,0.009838155053304584,1,5,1434,312.5204166666666,44.05916666666666,2000,5.06,A4me...,42.2,0.12,0.13,HIP102843,102843.0
1937003729076823040,0.026214540944583475,1,5,1606,350.40208333333334,44.09777777777778,2000,7.36,"K1V    ",21.9,0.64,0.22,HIP115331,115331.0
1937923436193950080,0.004167315795192308,1,5,1607,350.43541666666664,45.17583333333333,2000,8.12,"K2     ",20.9,0.2,-0.07,HIP115341,115341.0
2115351387048328832,0.0015623495225736185,1,5,1256,273.88541666666663,45.20916666666667,2000,6.3,"G2V    ",22.6,-0.08,-0.11,HIP89474,89474.0
397372371388455424,0.014347837804734243,1,5,105,21.914166666666663,45.406666666666666,2000,4.83,"F5IV   ",28.3,0.36,-0.11,HIP6813,6813.0
1505214930047542784,0.004835986577521406,1,5,967,214.35166666666663,45.44444444444444,2000,10.1,"M0     ",18.6,0.05,-0.02,HIP69824,69824.0
2115454019586473600,0.005282454534014617,1,5,1257,274.1295833333333,45.55777777777777,2000,10.3,"M0     ",17.1,-0.01,0.34,HIP89560,89560.0
1971163631214790528,0.04401890880344426,1,5,1482,323.49499999999995,45.59166666666667,2000,3.98,"G8III  ",38.1,-0.02,-0.09,HIP106481,106481.0
918107434852949888,0.0037503570379646763,1,5,584,126.9033333333333,45.65277777777778,2000,6.32,"G5V    ",21.7,-0.02,-0.35,HIP41484,41484.0
2118424350249708800,0.006208102500540577,1,5,1274,278.82666666666665,45.74388888888889,2000,9.84,"M2     ",15.4,0.45,0.36,HIP91128,91128.0
386655019234959872,0.0016211605622039069,1,5,6,1.2954166666666664,45.78638888888889,2000,9.95,"M2     ",11.4,0.87,-0.15,HIP428,428.0
350664155368182656,0.007485024897326824,1,5,114,24.899999999999995,45.8775,2000,6.6,"G5IV   ",21.3,0.22,-0.23,HIP7734,7734.0
241996500618616960,0.009192498985078216,1,5,248,53.109583333333326,46.056666666666665,2000,5.3,F4IIIva,36.4,-0.05,-0.07,HIP16499,16499.0
1505311442256006912,0.02679968360524396,1,5,966,214.09583333333333,46.088055555555556,2000,4.18,"A0sh   ",29.7,-0.19,0.16,HIP69732,69732.0
974536192658255104,0.004732880249253914,1,5,512,110.81208333333333,46.08722222222222,2000,10.5,"M2     ",16.2,-0.12,-0.24,HIP35821,35821.0
829776725129940480,0.012474516892205313,1,5,732,160.88708333333332,46.203611111111115,2000,5.18,"F5III  ",35.6,-0.27,-0.07,HIP52469,52469.0
1350714133093019904,0.004835958784767825,1,5,1238,269.4625,46.58861111111111,2000,11.7,"M:     ",13.5,-0.02,0.58,HIP87938,87938.0
1972438304486314112,0.007834142337802056,1,5,1471,321.33166666666665,46.71416666666667,2000,5.59,"F0V    ",34.3,0.19,0.05,HIP105769,105769.0
1359938520253565952,0.0044885957639356246,1,5,1161,255.65166666666667,47.08166666666667,2000,6.76,"G8V    ",18.0,0.12,0.85,HIP83389,83389.0
974887555341533440,0.008459730648814156,1,5,506,108.95875,47.23972222222222,2000,5.54,"G0V    ",16.8,0.03,-0.19,HIP35136,35136.0
1408029436569383296,0.004379480476707855,1,5,1155,254.4258333333333,47.36194444444445,2000,7.93,"K0     ",17.5,-0.14,0.26,HIP83006,83006.0
954713853434626176,0.006702595342251946,1,5,475,102.88499999999999,47.367777777777775,2000,8.95,"K2     ",18.8,-0.25,-0.69,HIP32919,32919.0
354077348697687424,0.007407107785262248,1,5,163,35.56083333333333,47.88,2000,9.4,"M2     ",11.9,0.22,0.04,HIP11048,11048.0
1014058103756663936,0.09092671107281071,1,5,616,134.8020833333333,48.041666666666664,2000,3.12,"A7IV   ",14.6,-0.44,-0.22,HIP44127,44127.0
832417236660307072,0.0043801778265821845,1,5,733,160.89083333333332,48.21388888888889,2000,8.02,"G5     ",25.2,-0.33,0.18,HIP52470,52470.0
834571523535702528,0.019612876719503087,1,5,710,157.01624999999999,48.78472222222222,2000,6.42,"G1V    ",23.5,0.08,-0.88,HIP51248,51248.0
981900721539947136,0.003447109076536747,1,5,537,115.43791666666665,49.221944444444446,2000,9.73,"K4     ",26.7,-0.06,0.0,HIP37494,37494.0
438829629113960704,0.02050778766699832,1,5,190,41.05,49.22833333333333,2000,4.1,"F7V    ",11.2,0.33,-0.09,HIP12777,12777.0
