Star,RAJ20155,Dec20155,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP15648,50.36042916666666,43.32944444444445,2015.5,4.96,A3V    ,47.6,-0.06,0.0,HIP15648
HIP15673,50.47624513888888,52.3295701388889,2015.5,9.05,K5     ,22.7,-0.31,-0.27,HIP15673
HIP15771,50.81779930555555,-49.9921375,2015.5,10.2,K0     ,19.9,0.23,0.26,HIP15771
HIP15774,50.82335069444444,-49.98984791666667,2015.5,8.58,K3V    ,19.7,0.25,0.27,HIP15774
HIP15797,50.89039166666666,43.95499930555556,2015.5,8.98,K2     ,25.5,0.12,-0.33,HIP15797
HIP15799,50.89735277777777,-40.07611944444445,2015.5,6.9,K0V    ,17.0,0.04,0.04,HIP15799
HIP15919,51.24720069444443,-5.368797916666667,2015.5,7.86,K5V    ,15.1,-0.23,-0.77,HIP15919
HIP16069,51.749091666666665,-63.50057291666667,2015.5,8.08,K5V    ,16.3,0.36,-0.25,HIP16069
HIP16134,51.97197083333333,-19.802423611111113,2015.5,8.39,K5V    ,12.6,0.54,0.3,HIP16134
HIP16245,52.34714305555555,-62.93500763888889,2015.5,4.71,F5IV-V ,21.4,0.38,0.37,HIP16245
HIP16499,53.10924652777777,46.05619513888889,2015.5,5.3,F4IIIva,36.4,-0.05,-0.07,HIP16499
GJ144,53.2258986111111,-9.457920833333333,2015.5,3.73,K2.0V  ,3.21,-0.98,0.02,GJ144
HIP16536,53.230828472222214,-44.701068750000005,2015.5,11.4,---    ,10.8,-0.31,0.13,HIP16536
HIP16711,53.75644444444444,-48.41680069444444,2015.5,8.57,K7V    ,13.3,0.4,0.31,HIP16711
GJ1061,54.003667361111106,-44.515059722222226,2015.5,13.0,M5.0V  ,3.67,0.73,-0.38,GJ1061
HIP16846,54.19688124999999,0.5864222222222223,2015.5,5.82,G5IV/V ,28.9,-0.03,-0.16,HIP16846
HIP16852,54.21678402777777,0.3981555555555556,2015.5,4.29,F9V    ,13.7,-0.23,-0.48,HIP16852
HIP17027,54.75451597222221,-5.6275256944444445,2015.5,5.97,K1V    ,35.1,-0.01,-0.21,HIP17027
LP944-020,54.898822222222215,-35.42603472222222,2015.5,18.6,M9.0V  ,4.96,0.32,0.3,LP944-020
HIP17147,55.09673124999999,-3.218359027777778,2015.5,6.68,F9V    ,24.3,0.69,-0.21,HIP17147
HIP17157,55.123173611111106,-47.924326388888886,2015.5,9.59,K7     ,25.1,0.1,0.1,HIP17157
HIP17346,55.686384722222215,-24.468603472222224,2015.5,9.2,K5V    ,25.9,0.02,-0.37,HIP17346
HIP17378,55.81147708333333,-9.758348611111112,2015.5,3.52,K0IV   ,9.04,-0.09,0.74,HIP17378
HIP17395,55.89076597222221,10.485420833333333,2015.5,5.59,A5m    ,42.9,-0.01,-0.02,HIP17395
HIP17405,55.93941111111111,16.66513402777778,2015.5,10.8,M1     ,16.2,0.16,-0.31,HIP17405
HIP17414,55.97024444444444,16.66978888888889,2015.5,9.99,M2     ,17.2,0.16,-0.32,HIP17414
HIP17420,55.9825048611111,-19.10975555555556,2015.5,7.1,K2V    ,14.0,0.31,0.16,HIP17420
HIP17439,56.03974791666666,-38.27971319444445,2015.5,6.99,K1V    ,16.2,0.21,0.29,HIP17439
HIP17440,56.052088194444444,-64.80612777777777,2015.5,3.84,K0IV SB,30.5,0.31,0.08,HIP17440
HIP17496,56.21507222222222,11.920875694444444,2015.5,9.13,K8V:   ,21.8,0.32,0.13,HIP17496
HIP17544,56.352572222222214,-27.861279166666666,2015.5,8.21,K2V    ,21.7,0.32,0.14,HIP17544
HIP17609,56.586377083333325,26.213930555555557,2015.5,9.61,K5     ,14.5,0.39,-0.2,HIP17609
HIP17651,56.711005555555545,-23.253292361111114,2015.5,4.22,F3/F5V ,17.9,-0.16,-0.53,HIP17651
HIP17666,56.76279166666666,41.41886944444444,2015.5,7.67,K1V    ,24.4,0.6,-1.24,HIP17666
HIP17749,57.0050423611111,68.67439444444445,2015.5,9.17,K0     ,17.3,0.13,0.24,HIP17749
HIP17797,57.150122222222215,-37.62006736111111,2015.5,4.3,A+...  ,49.4,0.08,-0.01,HIP17797
HIP17978,57.64926388888889,-42.561101388888886,2015.5,8.61,K2V    ,26.7,0.2,0.62,HIP17978
HIP18267,58.6181486111111,16.614688194444447,2015.5,6.81,G0     ,20.6,0.22,-0.17,HIP18267
HIP18280,58.64791666666666,-6.822263194444444,2015.5,9.02,M0V    ,15.4,0.0,0.53,HIP18280
HIP18324,58.768797222222204,61.16498263888889,2015.5,7.84,K0V    ,21.2,0.44,-0.25,HIP18324
HIP18413,59.046030555555554,59.642744444444446,2015.5,6.53,G0     ,21.3,-0.28,0.16,HIP18413
HIP18450,59.15207083333333,-41.34272708333334,2015.5,8.85,K5V    ,17.6,0.06,0.09,HIP18450
HIP18512,59.36837083333332,-1.1603875,2015.5,8.07,K4V    ,15.7,-0.18,-0.14,HIP18512
HIP18774,60.33388958333333,76.15546180555556,2015.5,8.2,K4V    ,15.9,0.33,-0.55,HIP18774
HIP18859,60.65392708333332,-0.27057291666666666,2015.5,5.38,F5V    ,19.2,0.15,-0.25,HIP18859
HIP18907,60.78923402777777,5.989166666666667,2015.5,3.91,A1V    ,39.6,0.01,0.0,HIP18907
HIP18975,60.98697847222221,8.197424305555556,2015.5,5.45,F2V    ,35.9,0.17,0.03,HIP18975
HIP19076,61.33572847222221,22.008013194444445,2015.5,5.9,G5V    ,16.7,0.17,-0.13,HIP19076
HIP19165,61.645336805555544,-20.858309722222224,2015.5,9.7,K7     ,23.5,0.05,-0.78,HIP19165
HIP19205,61.75147708333331,29.00111111111111,2015.5,5.21,F1V    ,27.5,-0.09,0.0,HIP19205
HIP19233,61.840863194444424,-64.21993194444445,2015.5,6.37,G3V    ,23.1,0.19,0.34,HIP19233
HIP19255,61.89406180555554,38.07289513888889,2015.5,7.13,G5     ,20.5,0.17,-0.23,HIP19255
HIP19333,62.1482111111111,-59.527474999999995,2015.5,9.71,K4V    ,25.6,-0.08,-0.12,HIP19333
HIP19335,62.15357777777778,38.038374999999995,2015.5,5.52,F7V    ,21.3,0.16,-0.2,HIP19335
HIP19337,62.1593361111111,33.63782013888889,2015.5,10.1,M1     ,13.6,0.52,0.13,HIP19337
HIP19422,62.396304861111105,69.53909027777777,2015.5,7.7,G5     ,18.4,0.07,-0.3,HIP19422
HIP19554,62.835593749999994,5.522777777777778,2015.5,5.71,F4V    ,38.6,0.15,0.0,HIP19554
HIP19655,63.175159722222226,70.20159097222222,2015.5,9.73,M0V:   ,25.8,-0.1,0.03,HIP19655
HIP19719,63.38791666666666,7.715833333333333,2015.5,5.29,F3V... ,36.9,0.0,0.0,HIP19719
HIP19747,63.5006861111111,-42.295513888888884,2015.5,3.85,K1III  ,35.9,0.04,-0.2,HIP19747
HIP19832,63.79025694444444,-4.418661805555556,2015.5,9.38,K5V    ,20.4,0.1,-0.09,HIP19832
GJ166,63.802827777777765,-7.675537500000001,2015.5,4.43,K0.5V  ,4.98,-2.24,-3.42,GJ166A
HIP19849,63.802827777777765,-7.675815277777779,2015.5,4.43,K1V    ,5.04,-2.24,-3.42,HIP19849
GJ166BC,63.825731944444435,-7.677616666666667,2015.5,9.52,M5V    ,4.98,-2.18,-3.44,GJ166B
HIP19855,63.85682638888888,6.198703472222222,2015.5,6.94,G5IV   ,20.8,-0.1,-0.11,HIP19855
HIP19859,63.869259027777765,6.185925694444444,2015.5,6.32,G0IV...,21.1,-0.11,-0.11,HIP19859
HIP19884,63.99233749999999,-53.307027777777776,2015.5,7.64,K5V    ,13.0,0.78,0.4,HIP19884
HIP19893,64.00734027777777,-51.48517638888889,2015.5,4.26,F4III  ,20.3,0.1,0.18,HIP19893
HIP19921,64.12049652777777,-59.30308958333333,2015.5,4.44,K2IV   ,18.2,-0.05,-0.17,HIP19921
HIP19930,64.13604791666667,36.50011736111111,2015.5,8.25,K2     ,25.5,-0.03,-0.23,HIP19930
HIP19990,64.31514722222221,20.577929166666667,2015.5,4.93,A3m    ,28.6,-0.04,-0.06,HIP19990
HIP20219,64.99122499999999,14.034865277777778,2015.5,5.58,F3V... ,44.8,0.12,-0.02,HIP20219
HIP20261,65.15199097222221,15.095143055555555,2015.5,5.26,F0V    ,47.1,0.11,-0.02,HIP20261
HIP20542,66.02490763888888,17.443686805555554,2015.5,4.8,A7V    ,44.7,0.11,-0.03,HIP20542
HIP20635,66.34324097222222,22.293341666666667,2015.5,4.21,A7IV-V ,47.0,0.11,-0.04,HIP20635
HIP20641,66.35490763888889,22.19938541666667,2015.5,5.27,A7V    ,44.1,0.11,-0.05,HIP20641
HIP20648,66.37324097222222,17.927575694444446,2015.5,4.3,A2IV   ,45.3,0.11,-0.03,HIP20648
HIP20713,66.58699097222221,15.617853472222222,2015.5,4.48,F0V... ,47.9,0.11,-0.03,HIP20713
HIP20842,67.00400694444443,21.619452777777777,2015.5,5.72,Am     ,47.9,0.1,-0.04,HIP20842
HIP20901,67.20990763888888,13.047365277777777,2015.5,5.02,A7V    ,49.1,0.11,-0.02,HIP20901
HIP20917,67.24994513888888,21.9237125,2015.5,8.3,K7V    ,11.4,-0.07,0.18,HIP20917
HIP21029,67.6406736111111,16.193686805555554,2015.5,4.78,A6IV   ,44.3,0.1,-0.03,HIP21029
HIP21036,67.65657430555554,13.724031944444445,2015.5,5.4,F0V    ,45.7,0.11,-0.02,HIP21036
HIP21039,67.66275694444444,15.691531944444444,2015.5,5.47,Am     ,44.3,0.1,-0.02,HIP21039
HIP21223,68.28861527777775,-36.94556388888889,2015.5,8.74,K4V    ,25.0,-0.02,0.04,HIP21223
HIP21248,68.37675902777777,-29.768207638888892,2015.5,4.49,K0III  ,38.1,-0.11,-0.27,HIP21248
HIP21272,68.45939374999999,5.383113888888889,2015.5,7.92,K0     ,26.7,-0.09,-0.28,HIP21272
HIP21273,68.46275694444444,14.843964583333335,2015.5,4.65,A8V    ,46.7,0.1,-0.03,HIP21273
HIP21284,68.50540416666666,-43.52498333333333,2015.5,8.81,K5V    ,22.4,0.06,-0.08,HIP21284
HIP21402,68.91401944444443,10.16021875,2015.5,4.25,A5m    ,46.1,0.04,-0.05,HIP21402
HIP21421,68.98040416666666,16.507886805555554,2015.5,0.87,K5III  ,19.9,0.06,-0.19,HIP21421
HIP21482,69.20238263888888,27.13093402777778,2015.5,8.1,K2     ,17.8,0.23,-0.15,HIP21482
HIP21547,69.40068611111111,-2.4737375000000004,2015.5,5.22,F0V    ,29.7,0.04,-0.06,HIP21547
HIP21553,69.42250486111111,52.89037777777778,2015.5,8.62,K8V    ,10.1,0.31,-0.48,HIP21553
HIP21556,69.42303402777777,-11.039890972222222,2015.5,10.3,M1     ,11.0,-0.23,-0.19,HIP21556
HIP21589,69.54025694444442,12.510488194444445,2015.5,4.27,A6V    ,45.8,0.1,-0.01,HIP21589
HIP21594,69.5444611111111,-14.30510138888889,2015.5,3.86,K1III  ,33.5,-0.08,-0.18,HIP21594
HIP21673,69.78853541666666,15.799183333333334,2015.5,5.08,A4m    ,46.5,0.03,-0.08,HIP21673
HIP21683,69.81928888888888,15.917643055555555,2015.5,4.67,A5Vn   ,48.7,0.08,-0.02,HIP21683
HIP21770,70.1394736111111,-41.86408263888889,2015.5,4.44,F2V    ,20.1,-0.14,-0.07,HIP21770
HIP21818,70.32720069444444,20.89970486111111,2015.5,8.09,K3V    ,13.4,-0.23,-0.25,HIP21818
HIP21861,70.51492013888888,-37.142886805555555,2015.5,5.04,F3V    ,27.6,0.05,0.19,HIP21861
HIP21932,70.73694583333334,18.95057847222222,2015.5,9.95,M2     ,9.41,0.66,-1.11,HIP21932
HIP21988,70.89783680555556,27.68540347222222,2015.5,8.0,K5III  ,22.3,0.05,-0.27,HIP21988
HIP22044,71.1081736111111,11.14604375,2015.5,5.39,F0V    ,48.2,0.1,-0.01,HIP22044
HIP22122,71.40780208333332,-50.076456944444445,2015.5,7.58,K0V    ,20.4,-0.45,-0.34,HIP22122
HIP22263,71.90212569444444,-16.933299305555558,2015.5,5.49,G3V    ,13.3,0.13,0.17,HIP22263
HIP22287,72.00158680555555,56.755934027777776,2015.5,5.29,A3m    ,49.7,0.05,-0.15,HIP22287
HIP22288,72.0051222222222,10.93287013888889,2015.5,9.53,K7V    ,26.1,0.08,-0.11,HIP22288
HIP22361,72.21026944444444,75.94023541666667,2015.5,5.96,A9IV   ,45.6,0.04,-0.13,HIP22361
HIP22449,72.4630986111111,6.9611784722222225,2015.5,3.19,F6V    ,8.02,0.46,0.01,HIP22449
HIP22451,72.46771458333332,-35.10824097222223,2015.5,7.49,K2V    ,17.9,-0.03,-0.11,HIP22451
HIP22498,72.60606527777777,63.33149791666667,2015.5,9.99,K7     ,23.4,0.22,-0.19,HIP22498
HIP22531,72.72987777777777,-53.460782638888894,2015.5,5.58,F0IV...,37.0,-0.08,0.09,HIP22531
HIP22627,73.02476041666668,6.474300694444445,2015.5,11.9,M4     ,12.1,0.15,-0.31,HIP22627
HIP22715,73.27059374999999,22.234124305555554,2015.5,8.78,K5V    ,26.9,0.15,-0.13,HIP22715
HIP22738,73.38087569444443,-55.859806250000005,2015.5,10.7,M2Ve   ,11.1,0.13,0.07,HIP22738
HIP22762,73.46109513888888,-17.777644444444444,2015.5,10.9,M3     ,12.3,0.41,-0.64,HIP22762
HIP22787,73.51837569444444,-35.40336666666666,2015.5,7.6,K0V    ,25.9,0.13,0.16,HIP22787
HIP22844,73.72150694444444,-58.54702847222222,2015.5,6.11,F3V    ,30.8,0.1,0.07,HIP22844
HIP22845,73.72401944444444,10.149679861111112,2015.5,4.64,A0V    ,36.9,0.04,-0.13,HIP22845
HIP22907,73.92586319444445,-28.565438194444447,2015.5,8.13,K3/K4V ,17.9,0.19,-0.23,HIP22907
HIP23147,74.71157430555554,49.848425694444444,2015.5,9.8,M2     ,16.5,0.11,-0.11,HIP23147
HIP23179,74.81450347222221,37.88932638888889,2015.5,4.93,A1V    ,48.7,0.05,-0.1,HIP23179
HIP23296,75.16576597222222,-2.065833333333333,2015.5,6.31,A8IV   ,49.5,-0.01,0.0,HIP23296
HIP23309,75.19651944444443,-57.25647291666667,2015.5,10.0,---    ,26.2,0.04,0.07,HIP23309
HIP23311,75.20787152777778,-5.7610881944444445,2015.5,6.22,K3V    ,8.81,0.55,-1.11,HIP23311
HIP23437,75.57091319444442,-56.07536041666667,2015.5,7.02,G5V    ,22.2,-0.05,0.73,HIP23437
HIP23452,75.61739027777777,-21.25787083333333,2015.5,8.31,M0V    ,8.51,-0.14,-0.22,HIP23452
HIP23482,75.70264722222221,-49.151186805555554,2015.5,5.37,F2V    ,26.1,-0.04,0.03,HIP23482
HIP23497,75.77422152777777,21.589452777777776,2015.5,4.62,A7V    ,49.9,0.07,-0.04,HIP23497
HIP23512,75.83220069444442,-17.376364583333334,2015.5,11.7,K:     ,9.27,-0.23,-0.45,HIP23512
HIP23516,75.84293402777777,-23.248922222222223,2015.5,9.28,K5V    ,26.3,0.25,0.16,HIP23516
HIP23693,76.37771458333333,-57.47169166666667,2015.5,4.71,F7V    ,11.6,-0.03,0.12,HIP23693
HIP23708,76.44729791666666,-57.55280277777778,2015.5,8.98,K7V    ,11.5,-0.03,0.12,HIP23708
HIP23783,76.66896458333332,51.59635486111112,2015.5,4.98,F0V    ,26.2,-0.03,-0.17,HIP23783
HIP23786,76.67771944444443,14.444494444444445,2015.5,7.74,K0V    ,23.9,0.28,-0.24,HIP23786
HIP23875,76.96196111111111,-5.0869277777777775,2015.5,2.78,A3IIIva,27.2,-0.08,-0.08,HIP23875
HIP23932,77.14920138888888,-18.181375000000003,2015.5,10.2,M5     ,9.31,0.5,-1.4,HIP23932
HIP23941,77.1824875,-4.455976388888889,2015.5,5.11,F2V    ,25.0,0.06,0.02,HIP23941
GJ191,77.9629513888889,-45.05693125,2015.5,8.85,M2.0V  ,3.91,6.5,-5.73,GJ191
HIP24284,78.17771944444443,19.66717222222222,2015.5,10.8,M5     ,12.7,0.28,0.24,HIP24284
HIP24332,78.32155694444444,37.33627916666667,2015.5,6.48,F8     ,25.9,-0.14,-0.14,HIP24332
HIP24340,78.3569486111111,38.483972916666666,2015.5,4.82,A4m    ,49.8,-0.02,-0.07,HIP24340
HIP24454,78.70203333333332,0.6589131944444444,2015.5,9.97,K2III  ,26.2,0.24,-0.45,HIP24454
HIP24659,79.37185625,-34.89729027777777,2015.5,4.81,K0/K1II,33.7,0.09,-0.34,HIP24659
HIP24783,79.69572361111109,-21.393880555555555,2015.5,9.35,K4V    ,20.2,-0.14,-0.04,HIP24783
HIP24786,79.71297638888888,-18.129595833333333,2015.5,5.96,G0V    ,24.9,0.38,0.06,HIP24786
HIP24813,79.78891944444443,40.09444305555556,2015.5,4.69,G0V    ,12.6,0.52,-0.66,HIP24813
HIP24819,79.80763194444442,-3.072668055555556,2015.5,7.77,K3V    ,16.8,0.7,0.14,HIP24819
HIP24874,79.99947847222221,-15.838097222222222,2015.5,8.72,K3V    ,24.3,0.17,0.2,HIP24874
HIP25110,80.63904444444444,79.2321888888889,2015.5,5.08,F6V    ,20.9,-0.08,0.16,HIP25110
HIP25119,80.65658680555555,2.6021125,2015.5,7.76,K3V    ,19.9,0.05,-0.14,HIP25119
HIP25220,80.91168402777778,17.323888888888888,2015.5,7.93,K2     ,14.3,0.25,0.0,HIP25220
HIP25278,81.10793402777777,17.383265972222222,2015.5,5.0,F8V SB ,14.6,0.25,-0.01,HIP25278
HIP25283,81.12610277777777,-38.96984861111112,2015.5,9.08,K2     ,17.7,0.04,-0.06,HIP25283
HIP25421,81.56293402777777,-32.50532847222222,2015.5,7.7,K2/K3V ,17.9,0.25,-0.09,HIP25421
HIP25486,81.77013472222222,-11.901170138888888,2015.5,6.3,F7V:   ,26.8,0.02,-0.05,HIP25486
HIP25544,81.91315624999999,-60.41643958333333,2015.5,6.99,G5V    ,19.5,-0.15,-0.09,HIP25544
HIP25578,81.99955347222222,9.638769444444444,2015.5,12.4,M5     ,8.69,-0.19,-0.76,HIP25578
HIP25623,82.10666180555555,-3.5048333333333335,2015.5,7.65,K5V    ,12.9,-0.31,-0.8,HIP25623
HIP25647,82.18686874999999,-65.44732291666666,2015.5,6.88,K1III(p,14.9,0.03,0.15,HIP25647
HIP25775,82.55853541666666,-42.69823263888888,2015.5,9.72,M0V    ,19.3,0.03,-0.15,HIP25775
HIP25878,82.86928611111111,-3.691300694444444,2015.5,7.97,M1V    ,5.69,0.76,-2.09,HIP25878
HIP25918,82.97177638888887,-76.3388798611111,2015.5,5.18,K4III  ,30.8,0.14,0.29,HIP25918
HIP26335,84.12916666666665,11.327373611111112,2015.5,8.78,K7     ,11.3,0.0,-0.06,HIP26335
HIP26366,84.22734027777777,9.288534722222222,2015.5,4.09,G8III-I,35.5,0.1,-0.3,HIP26366
HIP26369,84.22965069444443,-47.96319861111112,2015.5,9.84,---    ,24.2,0.01,0.02,HIP26369
HIP26373,84.23728541666665,-47.964444444444446,2015.5,7.95,K0V    ,23.8,0.03,0.0,HIP26373
HIP26394,84.29333819444443,-80.46181597222221,2015.5,5.65,G3IV   ,18.2,0.31,1.05,HIP26394
HIP26501,84.53829097222221,-46.10899930555556,2015.5,7.33,G5     ,25.2,-0.13,-0.47,HIP26501
HIP26505,84.5458784722222,51.446296527777776,2015.5,7.74,K2V    ,20.5,-0.55,0.11,HIP26505
HIP26563,84.72118263888888,-7.213114583333334,2015.5,4.77,A4V    ,47.0,-0.01,-0.05,HIP26563
HIP26624,84.87958333333333,-3.5644444444444443,2015.5,5.99,A8Vs   ,41.3,0.0,0.0,HIP26624
HIP26779,85.33458333333333,53.47733055555556,2015.5,6.21,K1V    ,12.2,0.0,-0.52,HIP26779
HIP26801,85.37791666666666,53.486219444444444,2015.5,9.78,M1     ,12.4,0.0,-0.52,HIP26801
HIP26857,85.55222222222221,12.478590972222221,2015.5,11.5,M5     ,5.78,2.0,-1.57,HIP26857
HIP27072,86.1138798611111,-22.450825694444447,2015.5,3.59,F7V    ,8.96,-0.29,-0.37,HIP27072
HIP27075,86.1181986111111,-20.126119444444445,2015.5,6.34,F8/G0V ,25.5,-0.02,0.04,HIP27075
HIP27080,86.13082847222222,-70.13498055555557,2015.5,8.09,K0V    ,25.5,-0.31,1.24,HIP27080
HIP27100,86.19313125,-65.73521041666667,2015.5,4.34,A7V    ,44.4,-0.03,0.01,HIP27100
HIP27188,86.45327083333333,62.231345138888884,2015.5,9.02,M0     ,13.6,0.3,-0.79,HIP27188
HIP27207,86.51121736111111,37.28100902777777,2015.5,7.34,K0V    ,20.5,0.49,-0.51,HIP27207
HIP27288,86.73868263888887,-14.821944444444444,2015.5,3.55,A2Vann ,21.5,-0.01,0.0,HIP27288
HIP27321,86.82124999999998,-51.06585,2015.5,3.85,A3V    ,19.2,0.0,0.08,HIP27321
HIP27323,86.82603541666666,-48.52715555555555,2015.5,9.74,M0V    ,20.7,0.03,-0.32,HIP27323
HIP27359,86.92435347222221,-36.329141666666665,2015.5,10.7,M2     ,14.9,0.77,-0.12,HIP27359
HIP27435,87.14582083333332,-4.09599375,2015.5,5.97,G4V    ,15.5,0.06,-0.23,HIP27435
HIP27628,87.74040416666665,-35.76536111111111,2015.5,3.12,K1.5III,26.3,0.06,0.4,HIP27628
HIP27654,87.8319659722222,-20.88326736111111,2015.5,3.76,G8III/I,34.4,0.23,-0.65,HIP27654
HIP27803,88.25124999999998,-5.997079861111112,2015.5,9.7,M0V    ,20.1,0.0,-0.35,HIP27803
HIP27887,88.51716319444442,-60.0237375,2015.5,7.17,K3V    ,12.8,-0.05,-0.06,HIP27887
HIP27890,88.526225,-63.085604861111115,2015.5,4.65,K1III/I,27.2,0.12,0.57,HIP27890
HIP27896,88.54560625,-50.358795138888894,2015.5,6.53,K1V    ,34.8,0.09,0.55,HIP27896
HIP27913,88.59475555555555,20.2754375,2015.5,4.39,G0V    ,8.66,-0.16,-0.1,HIP27913
HIP27918,88.61970555555554,2.13784375,2015.5,8.84,K3V    ,26.6,0.08,-0.65,HIP27918
HIP27922,88.62643958333334,-19.70436875,2015.5,7.51,G6V    ,22.7,0.09,-0.03,HIP27922
HIP27947,88.70861527777777,-52.63366111111112,2015.5,5.29,F0Ve...,34.9,-0.02,0.24,HIP27947
HIP28103,89.10098055555555,-14.166556944444443,2015.5,3.71,F1V    ,15.0,-0.04,0.14,HIP28103
HIP28267,89.5900548611111,-4.651902777777778,2015.5,6.99,G0     ,23.2,0.07,-0.2,HIP28267
HIP28368,89.90715069444443,58.591093750000006,2015.5,10.2,M1     ,13.5,0.01,-0.25,HIP28368
HIP28442,90.07869027777778,-31.021740277777777,2015.5,7.85,K3/K4V ,14.9,-0.38,1.02,HIP28442
HIP28614,90.59590069444442,9.646952777777777,2015.5,4.12,Am...  ,46.5,0.01,-0.04,HIP28614
HIP28764,91.11779444444444,-45.03470486111111,2015.5,6.35,G0IV-V ,26.6,-0.08,0.25,HIP28764
HIP28790,91.16654444444443,-45.07720486111111,2015.5,5.93,F4V    ,27.0,-0.08,0.25,HIP28790
HIP28954,91.66794166666665,15.541270833333334,2015.5,6.76,K0     ,15.4,-0.12,-0.1,HIP28954
HIP29052,91.93087083333332,-25.746069444444444,2015.5,11.8,---    ,11.4,-0.18,-0.2,HIP29052
HIP29067,91.98007986111108,67.97592569444446,2015.5,9.75,K8     ,24.9,-0.05,-0.11,HIP29067
HIP29271,92.56122500000001,-74.75419236111111,2015.5,5.08,G5V    ,10.1,0.12,-0.21,HIP29271
HIP29277,92.58283680555554,82.09764027777777,2015.5,10.4,M3     ,9.39,0.05,-1.34,HIP29277
HIP29295,92.64322361111111,-21.86922708333333,2015.5,8.15,M1/M2V ,5.77,-0.14,-0.71,HIP29295
HIP29432,93.00384722222222,6.781371527777778,2015.5,6.85,G4V    ,23.1,0.2,-0.25,HIP29432
HIP29525,93.30262222222221,10.624923611111113,2015.5,6.43,G8V    ,18.1,0.08,-0.3,HIP29525
HIP29548,93.39822847222221,63.392541666666666,2015.5,9.67,M0     ,24.7,0.17,-0.2,HIP29548
HIP29568,93.43841319444444,-23.860925694444447,2015.5,6.37,G5V    ,16.6,-0.05,0.11,HIP29568
HIP29650,93.71140972222221,19.155176388888886,2015.5,5.2,F6V    ,21.1,-0.1,-0.18,HIP29650
HIP29761,94.01118263888888,70.778425,2015.5,7.43,G5     ,25.7,-0.01,-0.44,HIP29761
HIP29800,94.11137222222222,12.273224305555557,2015.5,5.04,F5IV-V ,19.6,0.08,0.19,HIP29800
HIP29860,94.31580347222221,5.101145138888889,2015.5,5.7,G0.5Vb ,19.3,-0.19,0.17,HIP29860
HIP30060,94.90583333333332,59.01096805555555,2015.5,4.44,A2Vs   ,45.7,0.0,0.02,HIP30060
HIP30112,95.05419166666664,2.258215277777778,2015.5,9.83,K7V    ,27.9,-0.12,-0.1,HIP30112
HIP30314,95.62868263888888,-60.21820694444445,2015.5,6.53,G1V    ,23.4,-0.01,0.06,HIP30314
HIP30419,95.9419486111111,4.5928451388888885,2015.5,4.39,A5IV   ,39.3,-0.02,0.01,HIP30419
HIP30503,96.18183888888889,-28.78080833333333,2015.5,6.37,G2V    ,22.0,-0.16,-0.12,HIP30503
HIP30630,96.54169166666665,18.75558888888889,2015.5,6.78,K0     ,14.6,-0.12,-0.16,HIP30630
HIP30756,96.9419361111111,20.78285347222222,2015.5,8.59,G0     ,18.0,0.04,-0.03,HIP30756
GJ234,97.35214791666665,-2.8177874999999997,2015.5,11.1,M4.5V  ,4.09,0.69,-0.62,GJ234
HIP31167,98.09624999999998,-5.868880555555556,2015.5,5.6,F0Vnn+.,43.2,0.0,-0.04,HIP31167
HIP31592,99.17123749999999,-19.256304861111108,2015.5,3.95,K1III+.,19.8,0.06,-0.07,HIP31592
HIP31635,99.28974583333334,17.56694513888889,2015.5,9.63,M1:    ,9.84,-0.78,0.33,HIP31635
HIP31634,99.29774444444445,-50.03798819444444,2015.5,9.61,K0     ,15.1,0.16,0.01,HIP31634
HIP31703,99.4776048611111,73.69555555555556,2015.5,6.26,F2     ,35.5,-0.17,0.0,HIP31703
HIP31711,99.50132986111109,-61.532861805555555,2015.5,6.15,G1/G2V ,21.6,-0.05,0.07,HIP31711
HIP31878,99.95813125,-61.477516666666666,2015.5,9.71,M1V    ,21.9,-0.03,0.08,HIP31878
HIP32010,100.31683124999998,23.955613888888887,2015.5,8.08,K2     ,17.5,0.21,-0.28,HIP32010
HIP32322,101.21659930555555,-27.339713194444442,2015.5,6.43,F7V    ,26.5,-0.01,0.29,HIP32322
GJ244,101.2833784722222,-16.724329166666667,2015.5,-1.4,A1V    ,2.63,-0.55,-1.22,GJ244A
HIP32366,101.34406944444444,-31.795631944444445,2015.5,5.92,F7V    ,24.2,-0.2,-0.3,HIP32366
HIP32423,101.51821874999997,32.55622916666666,2015.5,8.8,K3V    ,24.9,-0.45,0.1,HIP32423
HIP32439,101.55849305555554,79.56068055555555,2015.5,5.44,F8V    ,17.8,-0.1,-0.6,HIP32439
HIP32480,101.68458333333332,43.57836736111111,2015.5,5.24,G0V    ,16.5,0.0,0.17,HIP32480
HIP32617,102.07931388888888,-1.3190909722222222,2015.5,5.75,F1V    ,40.0,-0.04,-0.03,HIP32617
HIP32765,102.47749999999998,-46.611952083333335,2015.5,5.14,F5III  ,25.2,0.0,0.37,HIP32765
HIP32769,102.48918402777777,60.33803958333334,2015.5,8.59,M0p    ,16.4,0.25,0.41,HIP32769
HIP32851,102.70763472222221,-0.5421131944444444,2015.5,5.78,F2V    ,29.8,0.02,-0.19,HIP32851
HIP32919,102.8833159722222,47.363129861111105,2015.5,8.95,K2     ,18.8,-0.25,-0.69,HIP32919
HIP32984,103.07177916666666,-5.173611111111112,2015.5,6.58,K3V    ,8.7,-0.54,0.0,HIP32984
