Star,RAJ20155,Dec20155,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP9044,29.138447916666664,-60.22510902777778,2015.5,8.61,K5V    ,19.7,0.45,0.19,HIP9044
HIP9085,29.252357638888885,-51.76442708333333,2015.5,6.1,F8V    ,26.3,0.35,0.25,HIP9085
HIP9094,29.287507638888883,10.240605555555554,2015.5,6.42,G5     ,33.9,-0.37,-0.24,HIP9094
HIP9153,29.48147708333333,23.59576597222222,2015.5,4.79,F0V    ,40.8,-0.09,-0.01,HIP9153
HIP9236,29.694251388888883,-61.56952013888889,2015.5,2.86,F0V    ,21.8,0.26,0.03,HIP9236
HIP9269,29.779116666666663,33.20708680555556,2015.5,7.14,G5     ,24.5,0.24,-0.35,HIP9269
GJ83.1,30.06254444444444,13.040299305555557,2015.5,12.3,M4.0V  ,4.44,1.12,-1.77,GJ83.1
HIP9480,30.48924652777777,70.90687708333334,2015.5,4.49,A3IV   ,35.8,-0.05,-0.01,HIP9480
HIP9487,30.511868749999998,2.763611111111111,2015.5,3.82,A2     ,42.6,0.03,0.0,HIP9487
HIP9598,30.85848055555555,72.42124583333334,2015.5,3.95,A2V    ,49.7,-0.04,0.02,HIP9598
HIP9716,31.247218055555553,-15.67839236111111,2015.5,7.79,K0V    ,25.5,0.02,-0.05,HIP9716
HIP9724,31.278891666666663,-17.615589583333332,2015.5,10.1,M3     ,9.43,1.32,-0.17,HIP9724
HIP9727,31.28177638888889,77.28077430555555,2015.5,5.27,F0Vn   ,33.5,0.14,-0.05,HIP9727
HIP9829,31.62590069444444,24.33287847222222,2015.5,6.89,G2V    ,23.1,0.01,-0.15,HIP9829
HIP9884,31.794613194444437,23.461211805555553,2015.5,2.01,K2III  ,20.2,0.19,-0.15,HIP9884
HIP10138,32.621995138888884,-50.81923263888889,2015.5,6.12,K0V    ,10.9,2.09,0.65,HIP10138
HIP10279,33.07564444444444,3.5630937499999997,2015.5,10.0,M3V:   ,10.3,-1.76,-1.85,HIP10279
HIP10306,33.20149444444445,21.210833333333333,2015.5,5.23,F5V    ,30.1,0.16,0.0,HIP10306
HIP10337,33.30339305555555,-21.196052083333335,2015.5,9.84,K7V    ,23.2,0.38,0.05,HIP10337
HIP10395,33.478452777777775,-32.04468125,2015.5,10.3,---    ,12.3,0.76,-0.53,HIP10395
HIP10416,33.55659930555555,-3.6364819444444443,2015.5,8.55,K2     ,22.8,-0.01,-0.22,HIP10416
HIP10542,33.94181388888889,-18.23886388888889,2015.5,7.94,K3V    ,22.2,-0.04,-0.12,HIP10542
