Star,RA,Dec,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
HIP5842,18.754166666666666,-68.81888888888888,2000,7.22,K2V    ,21.1,0.42,0.08,HIP5842
HIP5862,18.796249999999997,-45.53138888888889,2000,4.97,F8V    ,15.0,0.66,0.18,HIP5862
HIP5896,18.942499999999995,-68.87583333333333,2000,4.25,F6IV   ,20.4,0.41,0.13,HIP5896
HIP5938,19.10083333333333,-12.096944444444444,2000,7.55,K0V    ,26.5,0.13,0.0,HIP5938
HIP5944,19.12208333333333,42.939166666666665,2000,6.59,G0     ,23.6,-0.11,-0.03,HIP5944
HIP5957,19.164166666666663,25.33138888888889,2000,10.1,K5     ,22.7,0.43,-0.1,HIP5957
HIP6069,19.47208333333333,5.473888888888889,2000,11.0,M2V:   ,15.3,0.09,-0.63,HIP6069
HIP6290,20.16958333333333,57.32777777777778,2000,10.3,K6V:   ,18.9,-0.29,0.44,HIP6290
HIP6344,20.37875,80.15166666666667,2000,9.67,K8     ,24.1,0.28,-0.08,HIP6344
HIP6351,20.394166666666663,-41.656388888888884,2000,10.1,K5     ,16.8,1.24,-0.46,HIP6351
HIP6379,20.49625,76.71000000000001,2000,7.17,K0     ,16.8,-0.03,-0.03,HIP6379
HIP6414,20.596249999999998,-33.21416666666667,2000,10.3,---    ,26.9,0.36,-0.3,HIP6414
HIP6537,21.00583333333333,-8.183055555555555,2000,3.6,K0III  ,35.1,-0.08,-0.21,HIP6537
HIP6706,21.56375,19.172222222222224,2000,5.35,F2V:var,26.0,-0.03,0.01,HIP6706
HIP6748,21.714999999999996,-13.05638888888889,2000,5.51,F0V    ,36.2,0.01,0.01,HIP6748
HIP6813,21.914166666666663,45.406666666666666,2000,4.83,F5IV   ,28.3,0.36,-0.11,HIP6813
HIP6917,22.270416666666666,21.723055555555554,2000,7.74,K2V    ,23.1,0.46,-0.19,HIP6917
HIP7078,22.807499999999997,70.26444444444445,2000,5.82,F6V    ,29.2,0.14,-0.08,HIP7078
HIP7235,23.315833333333334,-24.17777777777778,2000,6.97,K0V    ,19.5,0.27,-0.16,HIP7235
HIP7339,23.638749999999998,68.94805555555556,2000,6.52,G6V    ,20.9,-0.38,0.12,HIP7339
HIP7387,23.8125,-58.13944444444444,2000,6.03,F2V    ,40.4,0.28,-0.03,HIP7387
HIP7513,24.199166666666663,41.405277777777776,2000,4.1,F8V    ,13.4,-0.17,-0.38,HIP7513
HIP7535,24.274583333333332,12.141388888888889,2000,5.54,F0V    ,33.8,-0.07,0.01,HIP7535
HIP7576,24.397916666666664,-6.760277777777778,2000,7.66,G5     ,23.6,0.17,-0.1,HIP7576
GJ65A,24.75541666666666,-17.950277777777778,2000,12.6,M5.5V  ,2.67,3.32,0.56,GJ65A
HIP7734,24.899999999999995,45.8775,2000,6.6,G5IV   ,21.3,0.22,-0.23,HIP7734
HIP7748,24.94041666666666,73.7088888888889,2000,9.81,---    ,27.2,0.16,-0.11,HIP7748
HIP7751,24.947916666666664,-56.19638888888888,2000,5.76,K0V    ,8.14,0.29,0.02,HIP7751
HIP7918,25.446249999999996,42.61333333333334,2000,4.96,G2V    ,12.6,0.79,-0.18,HIP7918
HIP7978,25.62208333333333,-53.740833333333335,2000,5.52,F8V    ,17.3,0.17,-0.11,HIP7978
HIP7981,25.624166666666664,20.26833333333333,2000,5.24,K1V    ,7.46,-0.3,-0.68,HIP7981
HIP8051,25.834166666666665,4.321666666666666,2000,10.9,M2V:   ,11.2,-0.42,-0.76,HIP8051
HIP8070,25.919583333333332,63.82333333333334,2000,8.42,K5V    ,13.4,-0.39,-0.58,HIP8070
GJ71,26.01708333333333,-15.9375,2000,3.49,G8.5V  ,3.65,-1.72,0.85,GJ71
HIP8209,26.41166666666666,-25.052500000000002,2000,5.29,F2IV   ,27.4,0.16,-0.07,HIP8209
HIP8275,26.661249999999995,12.411666666666667,2000,8.91,K5     ,23.0,0.03,-0.08,HIP8275
HIP8362,26.936666666666664,63.8525,2000,5.63,K0V    ,9.97,0.58,-0.25,HIP8362
HIP8486,27.347499999999997,10.703333333333333,2000,6.72,G0     ,23.0,-0.12,-0.1,HIP8486
HIP8497,27.396249999999995,10.686388888888889,2000,4.66,F3III  ,23.6,-0.15,-0.09,HIP8497
HIP8543,27.532916666666665,29.464444444444442,2000,8.06,K1V    ,26.7,-0.04,-0.06,HIP8543
HIP8768,28.205,-22.434722222222224,2000,8.89,K5/M0V ,11.0,0.84,0.0,HIP8768
HIP8867,28.52541666666666,66.17611111111111,2000,8.47,G5     ,22.1,-0.04,-0.14,HIP8867
