Star,RA,Dec,Ep,Vmag,SpType,Dist,pmRA,pmDE,SimbadName
GJ144,53.23249999999999,-9.458055555555555,2000,3.73,K2.0V  ,3.21,-0.98,0.02,GJ144
HIP16536,53.23291666666666,-44.70194444444445,2000,11.4,---    ,10.8,-0.31,0.13,HIP16536
HIP16711,53.75375,-48.41888888888889,2000,8.57,K7V    ,13.3,0.4,0.31,HIP16711
GJ1061,53.998749999999994,-44.5125,2000,13.0,M5.0V  ,3.67,0.73,-0.38,GJ1061
HIP16846,54.197083333333325,0.5875,2000,5.82,G5IV/V ,28.9,-0.03,-0.16,HIP16846
HIP16852,54.21833333333333,0.4013888888888889,2000,4.29,F9V    ,13.7,-0.23,-0.48,HIP16852
HIP17027,54.75458333333332,-5.626111111111111,2000,5.97,K1V    ,35.1,-0.01,-0.21,HIP17027
LP944-020,54.89666666666666,-35.42805555555555,2000,18.6,M9.0V  ,4.96,0.32,0.3,LP944-020
HIP17147,55.09208333333332,-3.2169444444444446,2000,6.68,F9V    ,24.3,0.69,-0.21,HIP17147
HIP17157,55.122499999999995,-47.925,2000,9.59,K7     ,25.1,0.1,0.1,HIP17157
HIP17346,55.686249999999994,-24.46611111111111,2000,9.2,K5V    ,25.9,0.02,-0.37,HIP17346
HIP17378,55.81208333333333,-9.763333333333334,2000,3.52,K0IV   ,9.04,-0.09,0.74,HIP17378
HIP17395,55.890833333333326,10.485555555555555,2000,5.59,A5m    ,42.9,-0.01,-0.02,HIP17395
HIP17405,55.93833333333333,16.66722222222222,2000,10.8,M1     ,16.2,0.16,-0.31,HIP17405
HIP17414,55.96916666666666,16.671944444444446,2000,9.99,M2     ,17.2,0.16,-0.32,HIP17414
HIP17420,55.980416666666656,-19.110833333333336,2000,7.1,K2V    ,14.0,0.31,0.16,HIP17420
HIP17439,56.03833333333333,-38.281666666666666,2000,6.99,K1V    ,16.2,0.21,0.29,HIP17439
HIP17440,56.05,-64.80666666666666,2000,3.84,K0IV SB,30.5,0.31,0.08,HIP17440
HIP17496,56.212916666666665,11.92,2000,9.13,K8V:   ,21.8,0.32,0.13,HIP17496
HIP17544,56.35041666666666,-27.862222222222222,2000,8.21,K2V    ,21.7,0.32,0.14,HIP17544
HIP17609,56.583749999999995,26.21527777777778,2000,9.61,K5     ,14.5,0.39,-0.2,HIP17609
HIP17651,56.712083333333325,-23.249722222222225,2000,4.22,F3/F5V ,17.9,-0.16,-0.53,HIP17651
HIP17666,56.75874999999999,41.42722222222222,2000,7.67,K1V    ,24.4,0.6,-1.24,HIP17666
HIP17749,57.004166666666656,68.67277777777778,2000,9.17,K0     ,17.3,0.13,0.24,HIP17749
HIP17797,57.149583333333325,-37.62,2000,4.3,A+...  ,49.4,0.08,-0.01,HIP17797
HIP17978,57.64791666666667,-42.56527777777777,2000,8.61,K2V    ,26.7,0.2,0.62,HIP17978
HIP18267,58.61666666666666,16.615833333333335,2000,6.81,G0     ,20.6,0.22,-0.17,HIP18267
HIP18280,58.64791666666666,-6.825833333333333,2000,9.02,M0V    ,15.4,0.0,0.53,HIP18280
HIP18324,58.76583333333332,61.166666666666664,2000,7.84,K0V    ,21.2,0.44,-0.25,HIP18324
HIP18413,59.047916666666666,59.641666666666666,2000,6.53,G0     ,21.3,-0.28,0.16,HIP18413
HIP18450,59.151666666666664,-41.343333333333334,2000,8.85,K5V    ,17.6,0.06,0.09,HIP18450
HIP18512,59.369583333333324,-1.1594444444444443,2000,8.07,K4V    ,15.7,-0.18,-0.14,HIP18512
HIP18774,60.33166666666666,76.15916666666668,2000,8.2,K4V    ,15.9,0.33,-0.55,HIP18774
HIP18859,60.652916666666655,-0.2688888888888889,2000,5.38,F5V    ,19.2,0.15,-0.25,HIP18859
HIP18907,60.78916666666666,5.989166666666667,2000,3.91,A1V    ,39.6,0.01,0.0,HIP18907
HIP18975,60.985833333333325,8.197222222222223,2000,5.45,F2V    ,35.9,0.17,0.03,HIP18975
HIP19076,61.33458333333332,22.00888888888889,2000,5.9,G5V    ,16.7,0.17,-0.13,HIP19076
HIP19165,61.64499999999999,-20.853055555555557,2000,9.7,K7     ,23.5,0.05,-0.78,HIP19165
HIP19205,61.75208333333331,29.00111111111111,2000,5.21,F1V    ,27.5,-0.09,0.0,HIP19205
HIP19233,61.839583333333316,-64.22222222222223,2000,6.37,G3V    ,23.1,0.19,0.34,HIP19233
HIP19255,61.89291666666665,38.074444444444445,2000,7.13,G5     ,20.5,0.17,-0.23,HIP19255
HIP19333,62.14874999999999,-59.526666666666664,2000,9.71,K4V    ,25.6,-0.08,-0.12,HIP19333
HIP19335,62.152499999999996,38.03972222222222,2000,5.52,F7V    ,21.3,0.16,-0.2,HIP19335
HIP19337,62.15583333333333,33.636944444444445,2000,10.1,M1     ,13.6,0.52,0.13,HIP19337
HIP19422,62.39583333333333,69.5411111111111,2000,7.7,G5     ,18.4,0.07,-0.3,HIP19422
HIP19554,62.83458333333333,5.522777777777778,2000,5.71,F4V    ,38.6,0.15,0.0,HIP19554
HIP19655,63.17583333333334,70.20138888888889,2000,9.73,M0V:   ,25.8,-0.1,0.03,HIP19655
HIP19719,63.38791666666666,7.715833333333333,2000,5.29,F3V... ,36.9,0.0,0.0,HIP19719
HIP19747,63.50041666666666,-42.29416666666666,2000,3.85,K1III  ,35.9,0.04,-0.2,HIP19747
HIP19832,63.789583333333326,-4.418055555555556,2000,9.38,K5V    ,20.4,0.1,-0.09,HIP19832
GJ166,63.817916666666655,-7.652500000000001,2000,4.43,K0.5V  ,4.98,-2.24,-3.42,GJ166A
HIP19849,63.817916666666655,-7.652777777777779,2000,4.43,K1V    ,5.04,-2.24,-3.42,HIP19849
GJ166BC,63.840416666666655,-7.654444444444445,2000,9.52,M5V    ,4.98,-2.18,-3.44,GJ166B
HIP19855,63.85749999999999,6.1994444444444445,2000,6.94,G5IV   ,20.8,-0.1,-0.11,HIP19855
HIP19859,63.86999999999999,6.1866666666666665,2000,6.32,G0IV...,21.1,-0.11,-0.11,HIP19859
HIP19884,63.987083333333324,-53.30972222222222,2000,7.64,K5V    ,13.0,0.78,0.4,HIP19884
HIP19893,64.00666666666666,-51.48638888888889,2000,4.26,F4III  ,20.3,0.1,0.18,HIP19893
HIP19921,64.12083333333334,-59.301944444444445,2000,4.44,K2IV   ,18.2,-0.05,-0.17,HIP19921
HIP19930,64.13625,36.501666666666665,2000,8.25,K2     ,25.5,-0.03,-0.23,HIP19930
HIP19990,64.31541666666665,20.578333333333333,2000,4.93,A3m    ,28.6,-0.04,-0.06,HIP19990
HIP20219,64.99041666666665,14.035,2000,5.58,F3V... ,44.8,0.12,-0.02,HIP20219
HIP20261,65.15124999999999,15.095277777777778,2000,5.26,F0V    ,47.1,0.11,-0.02,HIP20261
HIP20542,66.02416666666666,17.44388888888889,2000,4.8,A7V    ,44.7,0.11,-0.03,HIP20542
HIP20635,66.3425,22.29361111111111,2000,4.21,A7IV-V ,47.0,0.11,-0.04,HIP20635
HIP20641,66.35416666666667,22.199722222222224,2000,5.27,A7V    ,44.1,0.11,-0.05,HIP20641
HIP20648,66.3725,17.92777777777778,2000,4.3,A2IV   ,45.3,0.11,-0.03,HIP20648
HIP20713,66.58624999999999,15.618055555555555,2000,4.48,F0V... ,47.9,0.11,-0.03,HIP20713
HIP20842,67.00333333333332,21.619722222222222,2000,5.72,Am     ,47.9,0.1,-0.04,HIP20842
HIP20901,67.20916666666666,13.0475,2000,5.02,A7V    ,49.1,0.11,-0.02,HIP20901
HIP20917,67.25041666666665,21.9225,2000,8.3,K7V    ,11.4,-0.07,0.18,HIP20917
HIP21029,67.63999999999999,16.19388888888889,2000,4.78,A6IV   ,44.3,0.1,-0.03,HIP21029
HIP21036,67.65583333333332,13.724166666666667,2000,5.4,F0V    ,45.7,0.11,-0.02,HIP21036
HIP21039,67.66208333333333,15.691666666666666,2000,5.47,Am     ,44.3,0.1,-0.02,HIP21039
HIP21223,68.28874999999998,-36.94583333333333,2000,8.74,K4V    ,25.0,-0.02,0.04,HIP21223
HIP21248,68.37749999999998,-29.76638888888889,2000,4.49,K0III  ,38.1,-0.11,-0.27,HIP21248
HIP21272,68.46,5.385000000000001,2000,7.92,K0     ,26.7,-0.09,-0.28,HIP21272
HIP21273,68.46208333333333,14.844166666666668,2000,4.65,A8V    ,46.7,0.1,-0.03,HIP21273
HIP21284,68.505,-43.52444444444444,2000,8.81,K5V    ,22.4,0.06,-0.08,HIP21284
HIP21402,68.91375,10.160555555555556,2000,4.25,A5m    ,46.1,0.04,-0.05,HIP21402
HIP21421,68.97999999999999,16.509166666666665,2000,0.87,K5III  ,19.9,0.06,-0.19,HIP21421
HIP21482,69.20083333333332,27.131944444444446,2000,8.1,K2     ,17.8,0.23,-0.15,HIP21482
HIP21547,69.40041666666667,-2.4733333333333336,2000,5.22,F0V    ,29.7,0.04,-0.06,HIP21547
HIP21553,69.42041666666667,52.89361111111111,2000,8.62,K8V    ,10.1,0.31,-0.48,HIP21553
HIP21556,69.42458333333333,-11.038611111111111,2000,10.3,M1     ,11.0,-0.23,-0.19,HIP21556
HIP21589,69.53958333333331,12.510555555555555,2000,4.27,A6V    ,45.8,0.1,-0.01,HIP21589
HIP21594,69.54499999999999,-14.30388888888889,2000,3.86,K1III  ,33.5,-0.08,-0.18,HIP21594
HIP21673,69.78833333333333,15.799722222222222,2000,5.08,A4m    ,46.5,0.03,-0.08,HIP21673
HIP21683,69.81875,15.917777777777777,2000,4.67,A5Vn   ,48.7,0.08,-0.02,HIP21683
HIP21770,70.14041666666665,-41.86361111111111,2000,4.44,F2V    ,20.1,-0.14,-0.07,HIP21770
HIP21818,70.32875,20.90138888888889,2000,8.09,K3V    ,13.4,-0.23,-0.25,HIP21818
HIP21861,70.51458333333332,-37.14416666666666,2000,5.04,F3V    ,27.6,0.05,0.19,HIP21861
HIP21932,70.7325,18.958055555555553,2000,9.95,M2     ,9.41,0.66,-1.11,HIP21932
HIP21988,70.8975,27.68722222222222,2000,8.0,K5III  ,22.3,0.05,-0.27,HIP21988
HIP22044,71.10749999999999,11.14611111111111,2000,5.39,F0V    ,48.2,0.1,-0.01,HIP22044
HIP22122,71.41083333333333,-50.07416666666667,2000,7.58,K0V    ,20.4,-0.45,-0.34,HIP22122
HIP22263,71.90124999999999,-16.934444444444445,2000,5.49,G3V    ,13.3,0.13,0.17,HIP22263
HIP22287,72.00124999999998,56.75694444444444,2000,5.29,A3m    ,49.7,0.05,-0.15,HIP22287
HIP22288,72.00458333333331,10.93361111111111,2000,9.53,K7V    ,26.1,0.08,-0.11,HIP22288
HIP22361,72.21,75.94111111111111,2000,5.96,A9IV   ,45.6,0.04,-0.13,HIP22361
HIP22449,72.46,6.961111111111111,2000,3.19,F6V    ,8.02,0.46,0.01,HIP22449
HIP22451,72.46791666666665,-35.1075,2000,7.49,K2V    ,17.9,-0.03,-0.11,HIP22451
HIP22498,72.60458333333332,63.33277777777778,2000,9.99,K7     ,23.4,0.22,-0.19,HIP22498
HIP22531,72.73041666666666,-53.46138888888889,2000,5.58,F0IV...,37.0,-0.08,0.09,HIP22531
HIP22627,73.02375,6.476388888888889,2000,11.9,M4     ,12.1,0.15,-0.31,HIP22627
HIP22715,73.26958333333332,22.235,2000,8.78,K5V    ,26.9,0.15,-0.13,HIP22715
HIP22738,73.37999999999998,-55.86027777777778,2000,10.7,M2Ve   ,11.1,0.13,0.07,HIP22738
HIP22762,73.45833333333333,-17.773333333333333,2000,10.9,M3     ,12.3,0.41,-0.64,HIP22762
HIP22787,73.5175,-35.404444444444444,2000,7.6,K0V    ,25.9,0.13,0.16,HIP22787
HIP22844,73.72083333333333,-58.5475,2000,6.11,F3V    ,30.8,0.1,0.07,HIP22844
HIP22845,73.72375,10.150555555555556,2000,4.64,A0V    ,36.9,0.04,-0.13,HIP22845
HIP22907,73.92458333333333,-28.56388888888889,2000,8.13,K3/K4V ,17.9,0.19,-0.23,HIP22907
HIP23147,74.71083333333333,49.84916666666667,2000,9.8,M2     ,16.5,0.11,-0.11,HIP23147
HIP23179,74.81416666666665,37.89,2000,4.93,A1V    ,48.7,0.05,-0.1,HIP23179
HIP23296,75.16583333333332,-2.065833333333333,2000,6.31,A8IV   ,49.5,-0.01,0.0,HIP23296
HIP23309,75.19624999999999,-57.25694444444444,2000,10.0,---    ,26.2,0.04,0.07,HIP23309
HIP23311,75.20416666666667,-5.753611111111111,2000,6.22,K3V    ,8.81,0.55,-1.11,HIP23311
HIP23437,75.57124999999998,-56.08027777777778,2000,7.02,G5V    ,22.2,-0.05,0.73,HIP23437
HIP23452,75.61833333333333,-21.25638888888889,2000,8.31,M0V    ,8.51,-0.14,-0.22,HIP23452
HIP23482,75.70291666666665,-49.15138888888889,2000,5.37,F2V    ,26.1,-0.04,0.03,HIP23482
HIP23497,75.77374999999999,21.58972222222222,2000,4.62,A7V    ,49.9,0.07,-0.04,HIP23497
HIP23512,75.83374999999998,-17.373333333333335,2000,11.7,K:     ,9.27,-0.23,-0.45,HIP23512
HIP23516,75.84124999999999,-23.25,2000,9.28,K5V    ,26.3,0.25,0.16,HIP23516
HIP23693,76.37791666666666,-57.472500000000004,2000,4.71,F7V    ,11.6,-0.03,0.12,HIP23693
HIP23708,76.44749999999999,-57.55361111111111,2000,8.98,K7V    ,11.5,-0.03,0.12,HIP23708
HIP23783,76.66916666666665,51.597500000000004,2000,4.98,F0V    ,26.2,-0.03,-0.17,HIP23783
HIP23786,76.67583333333333,14.446111111111112,2000,7.74,K0V    ,23.9,0.28,-0.24,HIP23786
HIP23875,76.96249999999999,-5.086388888888888,2000,2.78,A3IIIva,27.2,-0.08,-0.08,HIP23875
HIP23932,77.14583333333333,-18.171944444444446,2000,10.2,M5     ,9.31,0.5,-1.4,HIP23932
HIP23941,77.18208333333332,-4.456111111111111,2000,5.11,F2V    ,25.0,0.06,0.02,HIP23941
GJ191,77.91916666666667,-45.01833333333333,2000,8.85,M2.0V  ,3.91,6.5,-5.73,GJ191
HIP24284,78.17583333333333,19.665555555555553,2000,10.8,M5     ,12.7,0.28,0.24,HIP24284
HIP24332,78.32249999999999,37.33722222222222,2000,6.48,F8     ,25.9,-0.14,-0.14,HIP24332
HIP24340,78.35708333333332,38.48444444444444,2000,4.82,A4m    ,49.8,-0.02,-0.07,HIP24340
HIP24454,78.70041666666665,0.6619444444444444,2000,9.97,K2III  ,26.2,0.24,-0.45,HIP24454
HIP24659,79.37124999999999,-34.894999999999996,2000,4.81,K0/K1II,33.7,0.09,-0.34,HIP24659
HIP24783,79.69666666666664,-21.39361111111111,2000,9.35,K4V    ,20.2,-0.14,-0.04,HIP24783
HIP24786,79.71041666666666,-18.13,2000,5.96,G0V    ,24.9,0.38,0.06,HIP24786
HIP24813,79.78541666666665,40.098888888888894,2000,4.69,G0V    ,12.6,0.52,-0.66,HIP24813
HIP24819,79.80291666666665,-3.0736111111111115,2000,7.77,K3V    ,16.8,0.7,0.14,HIP24819
HIP24874,79.99833333333332,-15.839444444444444,2000,8.72,K3V    ,24.3,0.17,0.2,HIP24874
HIP25110,80.63958333333332,79.23111111111112,2000,5.08,F6V    ,20.9,-0.08,0.16,HIP25110
HIP25119,80.65624999999999,2.6030555555555557,2000,7.76,K3V    ,19.9,0.05,-0.14,HIP25119
HIP25220,80.91,17.323888888888888,2000,7.93,K2     ,14.3,0.25,0.0,HIP25220
HIP25278,81.10624999999999,17.383333333333333,2000,5.0,F8V SB ,14.6,0.25,-0.01,HIP25278
HIP25283,81.12583333333333,-38.96944444444445,2000,9.08,K2     ,17.7,0.04,-0.06,HIP25283
HIP25421,81.56124999999999,-32.50472222222222,2000,7.7,K2/K3V ,17.9,0.25,-0.09,HIP25421
HIP25486,81.77,-11.900833333333333,2000,6.3,F7V:   ,26.8,0.02,-0.05,HIP25486
HIP25544,81.91416666666666,-60.41583333333333,2000,6.99,G5V    ,19.5,-0.15,-0.09,HIP25544
HIP25578,82.00083333333333,9.643888888888888,2000,12.4,M5     ,8.69,-0.19,-0.76,HIP25578
HIP25623,82.10874999999999,-3.4994444444444444,2000,7.65,K5V    ,12.9,-0.31,-0.8,HIP25623
HIP25647,82.18666666666665,-65.44833333333334,2000,6.88,K1III(p,14.9,0.03,0.15,HIP25647
HIP25775,82.55833333333332,-42.697222222222216,2000,9.72,M0V    ,19.3,0.03,-0.15,HIP25775
HIP25878,82.86416666666666,-3.677222222222222,2000,7.97,M1V    ,5.69,0.76,-2.09,HIP25878
HIP25918,82.97083333333332,-76.34083333333332,2000,5.18,K4III  ,30.8,0.14,0.29,HIP25918
HIP26335,84.12916666666665,11.327777777777778,2000,8.78,K7     ,11.3,0.0,-0.06,HIP26335
HIP26366,84.22666666666666,9.290555555555555,2000,4.09,G8III-I,35.5,0.1,-0.3,HIP26366
HIP26369,84.22958333333332,-47.96333333333334,2000,9.84,---    ,24.2,0.01,0.02,HIP26369
HIP26373,84.23708333333332,-47.964444444444446,2000,7.95,K0V    ,23.8,0.03,0.0,HIP26373
HIP26394,84.29124999999999,-80.46888888888888,2000,5.65,G3IV   ,18.2,0.31,1.05,HIP26394
HIP26501,84.53916666666666,-46.10583333333334,2000,7.33,G5     ,25.2,-0.13,-0.47,HIP26501
HIP26505,84.54958333333332,51.44555555555555,2000,7.74,K2V    ,20.5,-0.55,0.11,HIP26505
HIP26563,84.72124999999998,-7.212777777777778,2000,4.77,A4V    ,47.0,-0.01,-0.05,HIP26563
HIP26624,84.87958333333333,-3.5644444444444443,2000,5.99,A8Vs   ,41.3,0.0,0.0,HIP26624
HIP26779,85.33458333333333,53.48083333333334,2000,6.21,K1V    ,12.2,0.0,-0.52,HIP26779
HIP26801,85.37791666666666,53.48972222222222,2000,9.78,M1     ,12.4,0.0,-0.52,HIP26801
HIP26857,85.53875,12.489166666666666,2000,11.5,M5     ,5.78,2.0,-1.57,HIP26857
HIP27072,86.11583333333333,-22.448333333333334,2000,3.59,F7V    ,8.96,-0.29,-0.37,HIP27072
HIP27075,86.11833333333333,-20.12638888888889,2000,6.34,F8/G0V ,25.5,-0.02,0.04,HIP27075
HIP27080,86.13291666666666,-70.14333333333335,2000,8.09,K0V    ,25.5,-0.31,1.24,HIP27080
HIP27100,86.19333333333333,-65.73527777777778,2000,4.34,A7V    ,44.4,-0.03,0.01,HIP27100
HIP27188,86.45125,62.236666666666665,2000,9.02,M0     ,13.6,0.3,-0.79,HIP27188
HIP27207,86.50791666666666,37.28444444444444,2000,7.34,K0V    ,20.5,0.49,-0.51,HIP27207
HIP27288,86.73874999999998,-14.821944444444444,2000,3.55,A2Vann ,21.5,-0.01,0.0,HIP27288
HIP27321,86.82124999999998,-51.06638888888889,2000,3.85,A3V    ,19.2,0.0,0.08,HIP27321
HIP27323,86.82583333333332,-48.525,2000,9.74,M0V    ,20.7,0.03,-0.32,HIP27323
HIP27359,86.91916666666665,-36.32833333333333,2000,10.7,M2     ,14.9,0.77,-0.12,HIP27359
HIP27435,87.14541666666665,-4.094444444444444,2000,5.97,G4V    ,15.5,0.06,-0.23,HIP27435
HIP27628,87.73999999999998,-35.768055555555556,2000,3.12,K1.5III,26.3,0.06,0.4,HIP27628
HIP27654,87.83041666666665,-20.878888888888888,2000,3.76,G8III/I,34.4,0.23,-0.65,HIP27654
HIP27803,88.25124999999998,-5.994722222222222,2000,9.7,M0V    ,20.1,0.0,-0.35,HIP27803
HIP27887,88.51749999999998,-60.02333333333333,2000,7.17,K3V    ,12.8,-0.05,-0.06,HIP27887
HIP27890,88.52541666666666,-63.089444444444446,2000,4.65,K1III/I,27.2,0.12,0.57,HIP27890
HIP27896,88.545,-50.362500000000004,2000,6.53,K1V    ,34.8,0.09,0.55,HIP27896
HIP27913,88.59583333333333,20.27611111111111,2000,4.39,G0V    ,8.66,-0.16,-0.1,HIP27913
HIP27918,88.61916666666666,2.1422222222222222,2000,8.84,K3V    ,26.6,0.08,-0.65,HIP27918
HIP27922,88.62583333333333,-19.704166666666666,2000,7.51,G6V    ,22.7,0.09,-0.03,HIP27922
HIP27947,88.70875,-52.63527777777778,2000,5.29,F0Ve...,34.9,-0.02,0.24,HIP27947
HIP28103,89.10125,-14.167499999999999,2000,3.71,F1V    ,15.0,-0.04,0.14,HIP28103
HIP28267,89.58958333333332,-4.650555555555556,2000,6.99,G0     ,23.2,0.07,-0.2,HIP28267
HIP28368,89.90708333333332,58.59277777777778,2000,10.2,M1     ,13.5,0.01,-0.25,HIP28368
HIP28442,90.08125,-31.02861111111111,2000,7.85,K3/K4V ,14.9,-0.38,1.02,HIP28442
HIP28614,90.59583333333332,9.647222222222222,2000,4.12,Am...  ,46.5,0.01,-0.04,HIP28614
HIP28764,91.11833333333333,-45.03638888888889,2000,6.35,G0IV-V ,26.6,-0.08,0.25,HIP28764
HIP28790,91.16708333333331,-45.07888888888889,2000,5.93,F4V    ,27.0,-0.08,0.25,HIP28790
HIP28954,91.66874999999999,15.541944444444445,2000,6.76,K0     ,15.4,-0.12,-0.1,HIP28954
HIP29052,91.93208333333331,-25.744722222222222,2000,11.8,---    ,11.4,-0.18,-0.2,HIP29052
HIP29067,91.98041666666664,67.97666666666667,2000,9.75,K8     ,24.9,-0.05,-0.11,HIP29067
HIP29271,92.56041666666667,-74.75277777777778,2000,5.08,G5V    ,10.1,0.12,-0.21,HIP29271
HIP29277,92.58249999999998,82.10666666666665,2000,10.4,M3     ,9.39,0.05,-1.34,HIP29277
HIP29295,92.64416666666666,-21.864444444444445,2000,8.15,M1/M2V ,5.77,-0.14,-0.71,HIP29295
HIP29432,93.0025,6.783055555555555,2000,6.85,G4V    ,23.1,0.2,-0.25,HIP29432
HIP29525,93.30208333333333,10.626944444444446,2000,6.43,G8V    ,18.1,0.08,-0.3,HIP29525
HIP29548,93.39708333333333,63.39388888888889,2000,9.67,M0     ,24.7,0.17,-0.2,HIP29548
HIP29568,93.43875,-23.861666666666668,2000,6.37,G5V    ,16.6,-0.05,0.11,HIP29568
HIP29650,93.71208333333333,19.156388888888888,2000,5.2,F6V    ,21.1,-0.1,-0.18,HIP29650
HIP29761,94.01124999999999,70.78138888888888,2000,7.43,G5     ,25.7,-0.01,-0.44,HIP29761
HIP29800,94.11083333333333,12.271944444444445,2000,5.04,F5IV-V ,19.6,0.08,0.19,HIP29800
HIP29860,94.31708333333333,5.1,2000,5.7,G0.5Vb ,19.3,-0.19,0.17,HIP29860
HIP30060,94.90583333333332,59.01083333333333,2000,4.44,A2Vs   ,45.7,0.0,0.02,HIP30060
HIP30112,95.05499999999998,2.258888888888889,2000,9.83,K7V    ,27.9,-0.12,-0.1,HIP30112
HIP30314,95.62874999999998,-60.218611111111116,2000,6.53,G1V    ,23.4,-0.01,0.06,HIP30314
HIP30419,95.94208333333333,4.592777777777777,2000,4.39,A5IV   ,39.3,-0.02,0.01,HIP30419
HIP30503,96.18291666666667,-28.779999999999998,2000,6.37,G2V    ,22.0,-0.16,-0.12,HIP30503
HIP30630,96.54249999999999,18.756666666666668,2000,6.78,K0     ,14.6,-0.12,-0.16,HIP30630
HIP30756,96.94166666666666,20.783055555555556,2000,8.59,G0     ,18.0,0.04,-0.03,HIP30756
GJ234,97.34749999999998,-2.813611111111111,2000,11.1,M4.5V  ,4.09,0.69,-0.62,GJ234
HIP31167,98.09624999999998,-5.868611111111112,2000,5.6,F0Vnn+.,43.2,0.0,-0.04,HIP31167
HIP31592,99.17083333333332,-19.25583333333333,2000,3.95,K1III+.,19.8,0.06,-0.07,HIP31592
HIP31635,99.295,17.564722222222223,2000,9.63,M1:    ,9.84,-0.78,0.33,HIP31635
HIP31634,99.29666666666667,-50.03805555555555,2000,9.61,K0     ,15.1,0.16,0.01,HIP31634
HIP31703,99.47874999999999,73.69555555555556,2000,6.26,F2     ,35.5,-0.17,0.0,HIP31703
HIP31711,99.50166666666665,-61.53333333333333,2000,6.15,G1/G2V ,21.6,-0.05,0.07,HIP31711
HIP31878,99.95833333333333,-61.47805555555556,2000,9.71,M1V    ,21.9,-0.03,0.08,HIP31878
HIP32010,100.31541666666665,23.9575,2000,8.08,K2     ,17.5,0.21,-0.28,HIP32010
HIP32322,101.21666666666665,-27.341666666666665,2000,6.43,F7V    ,26.5,-0.01,0.29,HIP32322
GJ244,101.28708333333331,-16.71611111111111,2000,-1.4,A1V    ,2.63,-0.55,-1.22,GJ244A
HIP32366,101.34541666666667,-31.79361111111111,2000,5.92,F7V    ,24.2,-0.2,-0.3,HIP32366
HIP32423,101.52124999999998,32.55555555555555,2000,8.8,K3V    ,24.9,-0.45,0.1,HIP32423
HIP32439,101.55916666666666,79.56472222222222,2000,5.44,F8V    ,17.8,-0.1,-0.6,HIP32439
HIP32480,101.68458333333332,43.577222222222225,2000,5.24,G0V    ,16.5,0.0,0.17,HIP32480
HIP32617,102.07958333333332,-1.3188888888888888,2000,5.75,F1V    ,40.0,-0.04,-0.03,HIP32617
HIP32765,102.47749999999998,-46.614444444444445,2000,5.14,F5III  ,25.2,0.0,0.37,HIP32765
HIP32769,102.48749999999998,60.33527777777778,2000,8.59,M0p    ,16.4,0.25,0.41,HIP32769
HIP32851,102.70749999999998,-0.5408333333333333,2000,5.78,F2V    ,29.8,0.02,-0.19,HIP32851
HIP32919,102.88499999999999,47.367777777777775,2000,8.95,K2     ,18.8,-0.25,-0.69,HIP32919
HIP32984,103.07541666666665,-5.173611111111112,2000,6.58,K3V    ,8.7,-0.54,0.0,HIP32984
HIP33142,103.51749999999998,60.87166666666667,2000,11.0,M:     ,10.6,0.49,-0.99,HIP33142
HIP33202,103.66083333333333,13.177777777777777,2000,4.73,F0Vp   ,27.9,0.07,-0.08,HIP33202
HIP33226,103.70416666666667,33.268055555555556,2000,9.89,K:...  ,5.51,-0.73,-0.4,HIP33226
HIP33277,103.82791666666665,25.375555555555557,2000,5.74,G0V    ,17.2,-0.04,0.03,HIP33277
HIP33302,103.90583333333332,-20.136388888888888,2000,4.66,F2IV/V ,29.2,0.05,0.04,HIP33302
HIP33373,104.11708333333333,40.07416666666667,2000,9.08,K5V    ,24.0,0.12,-0.44,HIP33373
HIP33428,104.26958333333333,30.75638888888889,2000,9.68,M0     ,18.6,0.08,-0.22,HIP33428
HIP33478,104.39124999999999,-24.630833333333335,2000,5.45,F3V    ,38.5,-0.1,0.09,HIP33478
HIP33499,104.44416666666666,-44.29111111111111,2000,10.8,M4+... ,8.02,-1.1,-0.04,HIP33499
HIP33537,104.54916666666666,22.47583333333333,2000,6.94,G5V    ,24.2,0.05,0.1,HIP33537
HIP33560,104.60874999999999,-12.991666666666665,2000,9.14,K4V    ,22.3,0.05,-0.15,HIP33560
HIP33690,104.99874999999999,-61.336111111111116,2000,6.81,K0IV-V ,18.4,-0.16,0.26,HIP33690
HIP33817,105.30708333333331,-25.948611111111113,2000,6.71,K1V    ,14.6,0.21,0.04,HIP33817
HIP33852,105.41083333333331,48.37861111111111,2000,7.98,K3V    ,20.4,0.55,-0.43,HIP33852
HIP33955,105.67875,-6.799166666666666,2000,8.38,K5V    ,18.7,-0.2,-0.31,HIP33955
HIP34017,105.87708333333332,29.336944444444445,2000,5.93,G4V    ,19.0,0.16,-0.83,HIP34017
HIP34052,105.95916666666665,-43.56111111111111,2000,8.67,K5V... ,16.9,-0.08,0.4,HIP34052
HIP34065,105.98874999999998,-43.60777777777778,2000,5.56,G3V... ,16.2,-0.1,0.39,HIP34065
HIP34069,105.99541666666666,-43.611111111111114,2000,6.83,K0V    ,15.0,-0.1,0.4,HIP34069
HIP34104,106.07374999999998,10.508611111111112,2000,10.9,M5     ,15.3,-0.12,-0.82,HIP34104
HIP34115,106.10791666666664,68.28861111111111,2000,11.9,M5     ,15.2,0.35,0.05,HIP34115
HIP34341,106.78874999999998,3.4472222222222224,2000,9.84,M0V    ,26.7,0.01,-0.27,HIP34341
