,Source Name,Association,RA,Dec,Gal l,Gal b,Flux 1-100 GeV(photons cm-2s-1),+/-,Spectral Index,+/-.1,Variability Index,Classification,Light Curve(Likelihood),Spectrum,DataAccess
34,3FGL J0506.3-0357,,76.5865,-3.9522,204.036,-25.1152,4.18402e-10,1.03622e-10,2.1676,0.134481,27.2916,Unassociated,Link,Link,Link
35,3FGL J0506.9+0321,,76.7352,3.3616,197.192,-21.3745,2.39076e-10,7.93589e-11,1.80433,0.217031,33.1199,Unassociated,Link,Link,Link
36,3FGL J0512.0-3737,,78.0154,-37.6231,241.513,-35.0665,2.39558e-10,6.84281e-11,2.07485,0.212487,39.7356,Unassociated,Link,Link,Link
37,3FGL J0516.6+1012,,79.1702,10.2062,192.374,-15.7308,3.09853e-10,1.14147e-10,1.99974,0.300694,36.3858,Unassociated,Link,Link,Link
38,3FGL J0524.5-6937,,81.1278,-69.6294,280.3,-32.8316,2.49589e-10,8.72862e-11,1.63339,0.19438,36.4205,Unassociated,Link,Link,Link
39,3FGL J0537.4+3604c,,84.3505,36.0747,173.023,2.30108,6.97422e-10,1.64936e-10,2.27124,0.12976,28.4404,Unassociated,Link,Link,Link
40,3FGL J0538.8-0341,,84.7094,-3.6957,207.847,-17.8213,4.78118e-10,1.15065e-10,2.56439,0.125295,31.5705,Unassociated,Link,Link,Link
41,3FGL J0539.2-0536,,84.8007,-5.6013,209.678,-18.607,5.87968e-10,1.46976e-10,2.51762,0.248535,30.4928,Unassociated,Link,Link,Link
42,3FGL J0541.1+3553,,85.2775,35.8975,173.572,2.84227,2.135e-09,2.34588e-10,2.53795,0.132557,35.1678,Unassociated,Link,Link,Link
43,3FGL J0544.7+2239,,86.1758,22.6572,185.256,-3.44724,6.15398e-10,1.42251e-10,2.49894,0.18143,37.4496,Unassociated,Link,Link,Link
44,3FGL J0557.7-0720,,89.4499,-7.3403,213.456,-15.2457,3.80879e-10,1.03287e-10,2.14806,0.175214,33.0594,Unassociated,Link,Link,Link
45,3FGL J0559.8+3042,,89.9622,30.7153,180.035,3.56189,3.49781e-10,1.05117e-10,1.71105,0.172617,38.9955,Unassociated,Link,Link,Link
46,3FGL J0623.1-4143,,95.7795,-41.7256,249.549,-22.6657,2.51742e-10,6.60214e-11,2.29008,0.185844,31.7469,Unassociated,Link,Link,Link
47,3FGL J0657.6-4701,,104.424,-47.0263,257.003,-18.4853,3.14644e-10,8.41314e-11,2.01112,0.190085,38.1465,Unassociated,Link,Link,Link
48,3FGL J0700.6+3557,,105.162,35.9665,180.803,17.2622,2.83923e-10,6.84853e-11,2.40319,0.149474,35.7686,Unassociated,Link,Link,Link
49,3FGL J0704.3-4828,,106.075,-48.4751,258.842,-17.9558,2.57991e-10,8.32529e-11,1.97427,0.239348,28.2218,Unassociated,Link,Link,Link
50,3FGL J0714.7-3924,,108.677,-39.4086,250.94,-12.6958,4.33978e-10,9.85469e-11,2.3836,0.139879,39.8985,Unassociated,Link,Link,Link
51,3FGL J0716.0-4525,,109.011,-45.4221,256.691,-14.943,2.6329e-10,7.19467e-11,2.25825,0.182865,38.2498,Unassociated,Link,Link,Link
52,3FGL J0718.9-5004,,109.738,-50.0794,261.333,-16.3381,3.86673e-10,8.4004e-11,2.39174,0.135616,35.0057,Unassociated,Link,Link,Link
53,3FGL J0725.4-5007,,111.371,-50.1197,261.806,-15.394,2.15137e-10,8.01411e-11,1.94153,0.276596,30.9984,Unassociated,Link,Link,Link
54,3FGL J0725.8-3532,,111.459,-35.5373,248.379,-9.01749,3.90227e-10,9.20177e-11,2.35854,0.176205,35.6011,Unassociated,Link,Link,Link
55,3FGL J0731.8-3010,,112.974,-30.1768,244.191,-5.3991,2.24775e-10,9.88382e-11,1.66924,0.247994,32.2033,Unassociated,Link,Link,Link
56,3FGL J0739.8+1312,,114.974,13.2109,206.327,16.6217,2.11048e-10,6.48354e-11,2.73459,0.153979,36.2061,Unassociated,Link,Link,Link
57,3FGL J0740.6-5230,,115.162,-52.5042,265.079,-14.2615,5.18997e-10,9.36324e-11,2.23041,0.126851,37.3388,Unassociated,Link,Link,Link
58,3FGL J0744.3+1715,,116.082,17.2559,202.904,19.249,3.5699e-10,7.90253e-11,2.26117,0.143568,31.5213,Unassociated,Link,Link,Link
59,3FGL J0747.4-0734,,116.863,-7.5801,226.199,8.81995,4.65955e-10,1.037e-10,2.11312,0.150109,34.8226,Unassociated,Link,Link,Link
60,3FGL J0747.5-4927,,116.89,-49.4584,262.806,-11.9038,4.94792e-10,9.43224e-11,2.27348,0.169382,39.6524,Unassociated,Link,Link,Link
61,3FGL J0757.5-0536,,119.396,-5.6063,225.696,11.9796,3.397e-10,7.79281e-11,2.69497,0.122798,34.7783,Unassociated,Link,Link,Link
62,3FGL J0758.6-1451,,119.656,-14.8661,233.96,7.56186,1.12949e-09,1.35757e-10,1.98434,0.179058,38.6277,Unassociated,Link,Link,Link
63,3FGL J0802.3-0941,,120.59,-9.696,229.917,10.9744,6.20367e-10,9.60102e-11,2.28206,0.112163,35.8834,Unassociated,Link,Link,Link
64,3FGL J0813.5-0356,,123.387,-3.9388,226.22,16.2618,2.19985e-10,6.67065e-11,1.66701,0.190703,32.1268,Unassociated,Link,Link,Link
65,3FGL J0826.3-6400,,126.593,-64.0109,278.437,-14.6494,4.24464e-10,8.26998e-11,2.34202,0.131106,35.3519,Unassociated,Link,Link,Link
66,3FGL J0829.8-5239,,127.468,-52.6586,269.099,-7.91604,5.57757e-10,1.10335e-10,2.56151,0.111457,39.9552,Unassociated,Link,Link,Link
67,3FGL J0846.8-2638,,131.716,-26.6498,250.212,10.3329,3.46962e-10,8.26252e-11,2.47283,0.135666,36.6591,Unassociated,Link,Link,Link
68,3FGL J0855.4-4818,,133.855,-48.3163,268.153,-2.04874,1.92984e-09,3.10273e-10,2.80792,0.172621,33.8377,Unassociated,Link,Link,Link
69,3FGL J0901.0-6725,,135.262,-67.4256,283.439,-13.7666,2.58388e-10,6.91591e-11,2.52385,0.168947,38.7455,Unassociated,Link,Link,Link
70,3FGL J0919.5-2200,,139.883,-22.0054,251.396,19.0269,2.86412e-10,7.32801e-11,2.19767,0.255144,37.5227,Unassociated,Link,Link,Link
71,3FGL J0935.1-1736,,143.787,-17.6062,250.499,24.6957,3.43819e-10,8.52377e-11,1.74864,0.156548,33.4467,Unassociated,Link,Link,Link
72,3FGL J0948.8-4243,,147.204,-42.7211,270.845,8.49168,4.88227e-10,9.83367e-11,2.49293,0.122085,39.9689,Unassociated,Link,Link,Link
73,3FGL J0952.8+0711,,148.217,7.1991,229.723,43.2661,2.40501e-10,6.89817e-11,1.69938,0.171843,39.5244,Unassociated,Link,Link,Link
74,3FGL J1002.0-2837,,150.503,-28.6281,263.619,21.0263,2.66607e-10,7.33679e-11,2.57619,0.153921,34.284,Unassociated,Link,Link,Link
75,3FGL J1010.8-7645c,,152.71,-76.7555,294.058,-16.7382,4.04938e-10,9.50854e-11,2.30661,0.158895,37.3265,Unassociated,Link,Link,Link
