level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM_x,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69,Period,DM_y,Observatory,Frequencies,RMSASP,"~σt, ASP",MJD,T,N,RA_x,Dec,ra_deg_x,dec_deg_x,RA_y,DEC_x,ra_deg_y,dec_deg_y,RA,DEC_y,ra_deg,dec_deg,_merge
196,1303,1304,B1820-30A,J1823-3021A,18:23:40.4,-30:21:40.1,0.310,-8.200,*,55049.00,275.143,-7.027,*,*,2.788,-7.913,275.918696,-30.361146,0.005440,183.823389,-1.140e-13,5.100e-25,*,55049.00,86.88,*,*,*,*,TDB,*,16.00,0.72,0.08,*,*,*,*,*,*,*,*,*,*,*,*,12.10,3.14,-11.96,-1.67,0.58,-3.47,GC:NGC6624,"misc,pks70,htru_pks",000010404000,1994,HE[faa+11],*,2.34e+03,1.05e+02,2.55e+07,4.34e+09,8.28e+35,5.65e+33,8.206,470.735,3.36e-18,2.56e+07,4.33e+09,2.52e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
197,1312,1313,J1614-2230,J1614-2230,16:14:36.5,-22:30:31.2,*,*,1.500,56047.00,245.788,-1.257,9.494,-31.300,352.636,20.192,243.652114,-22.508686,0.003151,317.378942,-9.694e-16,*,*,56047.00,34.92,*,*,*,*,TDB,*,*,0.70,*,ELL1,*,8.6866,11.2912,175.97,1.336e-06,56049.0432,9.400e-08,-1.333e-06,0.3969,0.4712,CO[dpr+10],0.70,1.43,12.05,0.24,-0.08,7.85,"GRS:2FGL_J1614.5-2230[naa+12],OPT:[bk11]",misc,000000400000,2006,HE[aaa+09f],*,*,3.43e-01,5.19e+09,1.76e+08,1.21e+34,2.48e+34,32.708,108.548,3.89e-21,1.28e+10,1.12e+08,5.28e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
199,1332,1333,J2234+0611,J2234+0611,22:34:23.0,+06:11:28.6,*,*,0.660,57026.00,342.605,14.079,27.290,-1.100,72.991,-43.006,338.596142,6.191303,0.003577,279.596582,-9.398e-16,*,*,57026.00,10.76,*,*,*,*,TDB,*,0.30,0.70,*,DD,57018.1030,32.0014,13.9375,277.17,1.293e-01,*,*,*,0.1887,0.2209,*,1.52,0.85,-7.34,-1.03,1.06,8.18,*,ar327,001000000000,2013,*,*,6.89e-01,1.61e+00,4.71e+09,2.10e+08,1.04e+34,4.52e+33,27.312,196.190,2.20e-21,2.57e+10,8.98e+07,4.30e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
200,1342,1343,J1935+1726,J1935+1726,19:35:03.9,+17:26:28.4,*,*,*,55314.00,299.418,38.484,*,*,53.368,-1.374,293.76645,17.441239,0.004200,238.089468,*,*,*,55314.00,61.60,*,*,0.800,*,TDB,*,*,0.68,*,ELL1,*,90.7639,31.9742,10.16,1.758e-04,54616.7206,3.100e-05,1.730e-04,0.2189,0.2568,He[lcm13],2.31,2.31,-1.48,-0.06,1.85,7.12,*,pksngp,000200000000,2013,*,*,*,3.63e+00,*,*,*,*,*,*,*,*,*,*,,,,,,,,,,,,,,,,,,,,,,,left_only
201,1345,1346,J1738+0333,J1738+0333,17:38:53.9,+03:33:10.8,7.037,5.073,0.680,54600.00,264.095,26.884,*,*,27.721,17.742,264.724858,3.553019,0.005850,170.937370,-7.048e-16,*,*,54600.00,33.77,0.001,*,0.430,1.440,TDB,0.00,*,0.67,*,ELL1,*,0.3548,0.3434,335.70,3.401e-07,54600.2004,-1.400e-07,3.100e-07,0.0895,0.1040,He[avk+12],1.47,1.51,10.29,0.45,0.65,7.26,OPT:[avk+12],pkssw,000000100000,2005,*,*,*,1.45e+00,3.84e+09,3.80e+08,4.76e+33,2.20e+33,8.675,60.481,2.25e-20,4.11e+09,3.68e+08,1.78e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
202,1356,1357,J1813-2621,J1813-2621,18:13:40.5,-26:21:57.0,-7.300,-22.000,*,54058.00,273.067,-2.963,*,*,5.322,-4.112,273.419132,-26.365849,0.004430,225.733042,-6.352e-16,*,*,54058.00,112.52,*,136.00,0.660,*,TDB,*,*,0.65,*,ELL1,*,8.1598,5.5926,289.80,2.657e-06,54054.9328,-2.500e-06,9.000e-07,0.1883,0.2204,He[lem+15],3.01,3.01,-8.07,-0.22,0.28,5.51,*,pksmb,000000040000,2004,*,*,*,5.89e+00,5.63e+09,2.38e+08,5.66e+33,6.25e+32,23.180,330.779,-4.94e-21,-1.42e+10,,2.56e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
203,1370,1371,J0034-0534,J0034-0534,00:34:21.8,-05:34:36.7,7.900,-9.200,*,50690.00,5.672,-8.528,*,*,111.492,-68.069,8.590976,-5.576867,0.001877,532.713430,-1.409e-15,-3.500e-26,*,55000.00,13.77,*,-38.00,0.800,1.100,TCB,0.00,17.00,0.61,*,ELL1,*,1.5893,1.4378,314.06,4.314e-06,48765.5995,-3.100e-06,3.000e-06,0.1411,0.1646,He[bkb+95],1.35,1.35,-12.77,-1.25,0.47,8.68,GRS:2FGL_J0034.4-0534[naa+12],pks70,000000004000,1994,HE[aaa+10b],*,3.10e+01,1.11e+00,5.99e+09,9.77e+07,2.96e+34,1.63e+34,12.126,77.613,4.06e-21,7.32e+09,8.83e+07,1.38e+05,,,,,,,,,,,,,,,,,,,,,,,left_only
205,1377,1378,J0030+0451,J0030+0451,00:30:27.4,+04:51:39.7,*,*,3.080,55390.00,8.91,1.446,-5.516,2.900,113.141,-57.611,7.614283,4.861031,0.004865,205.530699,-4.298e-16,*,*,55390.00,4.34,*,17.00,*,*,TDB,*,7.90,0.60,*,*,*,*,*,*,*,*,*,*,*,*,*,0.32,0.35,-3.66,-0.27,0.16,8.57,GRS:2FGL_J0030.4+0450[naa+12],misc,000000400000,2000,"HE[btlb00,aaa+09e]",*,8.33e-01,6.32e-02,7.58e+09,2.25e+08,3.49e+33,3.31e+34,6.232,9.592,1.00e-20,7.69e+09,2.23e+08,1.83e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
207,1419,1420,J1721-2457,J1721-2457,17:21:05.4,-24:57:06.1,1.900,-25.000,*,55000.00,261.184,-1.81,*,*,0.387,6.751,260.272908,-24.951714,0.003497,285.989344,-4.533e-16,*,*,53400.00,47.76,*,*,0.920,*,TDB,*,*,0.58,*,*,*,*,*,*,*,*,*,*,*,*,*,1.37,1.37,5.61,0.16,0.01,7.14,*,"pkssw,htru_pks",000010100000,2001,*,*,*,1.09e+00,1.00e+10,1.41e+08,5.12e+33,2.73e+33,25.072,162.846,-1.77e-21,-3.12e+10,,3.09e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
208,1425,1426,J1918-0642,J1918-0642,19:18:48.0,-06:42:34.9,*,*,0.890,55330.00,290.315,15.351,-7.910,-4.920,30.027,-9.123,289.700136,-6.709695,0.007646,130.789516,-4.395e-16,*,*,55330.00,26.46,*,*,0.740,4.500,TDB,*,5.90,0.58,*,ELL1,*,10.9132,8.3505,219.48,2.034e-05,55334.1636,-1.293e-05,-1.570e-05,0.2364,0.2777,He[jsb+10],1.12,1.02,-4.20,-0.18,0.56,7.54,*,"pkssw,htru_pks",000010100000,2001,*,*,7.45e+00,7.32e-01,4.72e+09,4.48e+08,2.27e+33,1.80e+33,9.315,49.621,2.39e-20,5.07e+09,4.32e+08,9.41e+03,,,,,,,,,,,,,,,,,,,,,,,left_only
209,1426,1427,J1843-1448,J1843-1448,18:43:01.3,-14:48:12.6,10.500,12.000,*,53934.00,280.504,8.244,*,*,18.782,-4.871,280.755729,-14.803503,0.005471,182.770888,-2.074e-16,*,*,53934.00,114.51,*,*,1.000,*,TDB,*,*,0.57,*,*,*,*,*,*,*,*,*,*,*,*,*,3.47,3.47,-9.72,-0.29,1.11,5.23,*,pksmb,000000040000,2004,*,*,*,6.86e+00,1.40e+10,1.87e+08,1.50e+33,1.24e+32,15.945,262.317,-5.52e-21,-1.57e+10,,1.07e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
211,1461,1462,J2214+3000,J2214+3000,22:14:38.8,+30:00:38.1,*,*,2.300,56610.00,348.809,37.713,17.830,-10.440,86.855,-21.665,333.661886,30.010609,0.003119,320.592292,-1.514e-15,*,*,56610.00,22.55,*,*,*,*,TDB,*,*,0.53,*,ELL1,*,0.4166,0.0591,324.09,3.581e-05,56609.8485,-2.100e-05,2.900e-05,0.0133,0.0154,UL[rrc+11],0.60,1.67,-8.32,-0.22,0.56,8.47,"OPT:[sh14],GRS:2FGL_J2214.7+3000[naa+12]",FermiAssoc,000020000000,2011,HE,*,*,1.91e-01,3.36e+09,2.17e+08,1.92e+34,5.32e+34,20.662,58.774,1.28e-20,3.87e+09,2.02e+08,6.70e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
212,1496,1497,J1910+1256,J1910+1256,19:10:09.7,+12:56:25.4,*,*,*,56131.00,291.041,35.107,-0.790,-7.250,46.564,1.795,287.540423,12.940405,0.004984,200.658805,-3.898e-16,*,*,56131.00,30.07,*,78.00,*,*,TDB,*,*,0.50,*,DD,56125.6531,58.4667,21.1291,106.01,2.302e-04,*,*,*,0.1917,0.2245,He[gsf+11],1.32,1.32,0.94,0.04,0.96,7.59,*,"pksmb,palfa",000002040000,2004,*,*,*,8.71e-01,8.16e+09,2.22e+08,3.09e+33,1.77e+33,7.293,45.640,8.83e-21,8.94e+09,2.12e+08,1.68e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
213,1497,1498,J1911-1114,J1911-1114,19:11:49.2,-11:14:22.4,-13.750,-9.100,*,55000.00,287.946,11.088,*,*,25.137,-9.579,287.955343,-11.239578,0.003626,275.805338,-1.061e-15,*,*,55000.00,31.02,-0.020,-20.00,0.350,0.900,TCB,*,31.00,0.50,*,DD,*,2.7166,1.7629,120.96,1.633e-06,50455.6118,1.400e-06,-8.400e-07,0.1199,0.1396,He[llb+96],1.07,1.07,-5.16,-0.18,0.45,7.54,XRS:[pb15],pks70,000000004000,1996,*,*,3.55e+01,5.72e-01,4.12e+09,2.28e+08,1.16e+34,1.01e+34,16.489,83.644,1.14e-20,5.04e+09,2.06e+08,4.48e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
214,1499,1500,J2017+0603,J2017+0603,20:17:22.7,+06:03:05.5,*,*,0.400,56682.00,308.261,25.044,2.180,-0.410,48.621,-16.026,304.344605,6.051546,0.002896,345.278136,-9.529e-16,*,*,56682.00,23.92,*,*,*,*,TDB,*,*,0.50,*,ELL1,*,2.1985,2.1929,180.19,7.060e-06,56682.1100,-2.300e-08,-7.060e-06,0.1760,0.2059,He[cgj+11],1.40,1.40,-6.60,-0.39,1.01,7.61,"GRS:2FGL_J2017.3+0603[naa+12],XRS:[pb15]",misc,000000400000,2011,HE,*,*,9.80e-01,5.74e+09,1.54e+08,1.30e+34,6.63e+33,2.218,14.723,7.94e-21,5.78e+09,1.53e+08,5.94e+04,,,,,,,,,,,,,,,,,,,,,,,left_only
