NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
J1859+0603,J1859+0603,18:59:42.1,+06:03:54.5,*,*,*,56700.00,286.966,28.63,*,*,39.27,0.932,284.925546,6.065139,0.508561,1.966332,-6.146e-15,*,*,56700.00,378.60,*,*,13.800,*,TDB,*,*,0.16,*,*,*,*,*,*,*,*,*,*,*,*,*,8.99,8.99,6.16,0.15,5.69,1.54,*,palfa,000002000000,2017,*,*,*,1.29e+01,5.07e+06,9.10e+11,4.77e+32,5.90e+30,*,*,*,*,*,6.48e+01
J1900-0051,J1900-0051,19:00:46.6,-00:51:08.4,*,*,*,51912.00,286.386,21.727,*,*,33.238,-2.467,285.19435,-0.852333,0.385194,2.596094,-9.580e-16,*,*,51912.00,136.80,*,231.40,5.600,17.000,TDB,*,*,0.45,*,*,*,*,*,*,*,*,*,*,*,*,*,4.23,4.23,-5.89,-0.18,2.32,4.97,*,pksmb,000000040000,2004,*,*,*,8.05e+00,4.29e+07,2.37e+11,9.82e+31,5.49e+30,*,*,*,*,*,3.88e+01
J1900+0227,J1900+0227,19:00:38.6,+02:27:32.0,*,*,*,51721.00,286.759,25.02,*,*,36.17,-0.925,285.160833,2.458889,0.374262,2.671928,-4.073e-14,*,*,51721.00,201.10,*,-52.00,17.300,*,TDB,*,*,0.33,*,*,*,*,*,*,*,*,*,*,*,*,*,4.51,4.51,-3.25,-0.07,2.66,4.86,*,"pksmb,palfa",000002040000,2002,*,*,*,6.71e+00,1.04e+06,1.48e+12,4.30e+33,2.11e+32,*,*,*,*,*,2.64e+02
J1900+0308,J1900+0308,19:00:50.5,+03:08:24.0,*,*,*,55255.00,286.901,25.691,*,*,36.798,-0.658,285.210645,3.140022,0.004909,203.697558,-2.450e-16,*,*,55255.00,249.90,*,*,*,*,TDB,*,*,0.10,*,ELL1,*,12.4760,6.7164,*,*,55304.4606,0.000e+00,0.000e+00,0.1689,0.1975,He[csl+12],4.80,4.80,-2.87,-0.06,2.88,4.66,*,palfa,000002000000,2012,*,*,*,2.30e+00,1.32e+10,1.72e+08,1.97e+33,8.55e+31,*,*,*,*,*,1.37e+04
J1900+0438,J1900+0438,19:00:13.3,+04:38:46.8,*,*,*,56700.00,286.924,27.205,*,*,38.067,0.169,285.055625,4.646333,0.312314,3.201902,-3.312e-14,*,*,56700.00,627.00,*,*,26.000,*,TDB,*,*,0.12,*,*,*,*,*,*,*,*,*,*,*,*,*,6.99,6.99,1.85,0.02,4.31,3.0,*,palfa,000002000000,2017,*,*,*,5.86e+00,1.53e+06,1.02e+12,4.19e+33,8.57e+31,*,*,*,*,*,3.13e+02
J1900+0634,J1900+0634,19:00:28.0,+06:34:20.9,*,*,*,52554.00,287.249,29.111,*,*,39.808,0.995,285.116808,6.572472,0.389869,2.564963,-3.372e-14,*,*,52554.00,323.40,*,*,11.100,20.430,TDB,*,*,0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,8.61,8.61,5.62,0.15,5.51,1.89,*,"pksmb,ar4",000000060000,2004,*,*,*,1.78e+01,1.21e+06,1.43e+12,3.41e+33,4.61e+31,*,*,*,*,*,2.26e+02
B1857-26,J1900-2600,19:00:47.5,-26:00:43.8,-19.900,-47.300,0.500,48891.00,283.65,-3.29,*,*,10.342,-13.451,285.198258,-26.012167,0.612209,1.633429,-5.457e-16,-2.760e-27,*,48891.00,37.99,*,-9.30,34.100,67.600,TDB,*,131.00,13.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.70,1.24,-8.84,-0.16,0.12,7.83,*,"mol1,mol2,pks70,pkssw,htru_pks",000010104011,1970,*,*,6.42e+01,6.37e+00,4.74e+07,3.58e+11,3.52e+31,7.18e+31,51.316,170.300,2.02e-16,4.81e+07,3.56e+11,1.46e+01
J1901+00,J1901+00,19:01:32,+00:26,*,*,*,49717.00,286.747,22.983,*,*,34.469,-2.048,285.383333,0.433333,0.777662,1.285906,*,*,*,49717.00,345.50,*,*,22.000,*,TDB,*,*,0.35,*,*,*,*,*,*,*,*,*,*,*,*,*,7.42,7.42,-12.35,-0.27,4.2,2.39,*,"ar4,pksmb,palfa",000002060000,1996,*,*,*,1.93e+01,*,*,*,*,*,*,*,*,*,*
J1901+0124,J1901+0124,19:01:52.5,+01:24:49.3,*,*,*,52632.00,286.963,23.947,*,*,35.381,-1.677,285.468937,1.413694,0.318817,3.136593,-3.189e-14,*,*,52632.00,314.40,*,354.00,8.255,*,TDB,*,*,0.30,*,*,*,*,*,*,*,*,*,*,*,*,*,6.60,6.60,-9.20,-0.19,3.82,3.12,*,pksmb,000000040000,2004,*,*,*,1.31e+01,1.56e+06,1.03e+12,3.95e+33,9.07e+31,*,*,*,*,*,2.98e+02
B1859+01,J1901+0156,19:01:34.2,+01:56:38.2,*,*,*,49298.00,286.947,24.482,6.000,*,35.818,-1.367,285.392869,1.943949,0.288219,3.469582,-2.838e-14,-1.600e-26,*,49298.00,105.39,*,-122.00,6.100,15.100,TDB,0.00,13.70,0.38,*,*,*,*,*,*,*,*,*,*,*,*,*,3.23,3.23,-2.51,-0.08,1.89,5.88,*,"gb3,pksmb,palfa",000002040200,1985,*,1,1.43e+02,3.96e+00,1.94e+06,8.34e+11,3.89e+33,3.73e+32,*,*,*,*,*,3.27e+02
