source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,l,b,ecl_lon,ecl_lat,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_lower,radius_percentile_upper,lum_val,lum_percentile_lower,lum_percentile_upper
5057475861083756800,608422671,2015.5,53.174708469332884,0.13212767308762072,-28.104136516943317,0.20981366682176406,2.3783668453951936,0.2784051567375002,8.542826,2.3208398118462474,0.3400654340366342,27.278348084226444,0.46511231581016393,552,659.155,0.7421747992307468,2.7021298869449737,18,592,410.69161994463343,0.8050409773698209,510.14996,19.154575,20.359615,17.939676,2.419939,1.20504,1.2148991,,,224.08913648362437,-54.42968385393868,41.051895538152934,-45.485110611456946,,,,,,,,,,,,,
5057396528743289728,688442141,2015.5,52.759056831735805,1.7271469115709142,-28.109960443312676,2.757507680250346,,,,,,,,227,2109.8562,13.204987284045112,71.38515724164003,12,256,101.24286206206041,1.7899679014747292,56.56127,20.674955,21.444368,18.867846,2.5765228,0.769413,1.8071098,,,224.0099768898395,-54.79348645591175,40.55804873452728,-45.36543522264179,,,,,,,,,,,,,
5057378146284476160,344221070,2015.5,53.065750142840365,0.04923170299792753,-28.308906649772247,0.08604385161766774,1.5898458670948008,0.10119900265248599,15.710094,14.118993888641874,0.11837869261643637,11.954945317784007,0.1735780495614302,546,636.49524,0.2380596419355462,1.5537974962775327,19,588,1848.2127950823997,1.343901750498865,1375.2589,17.521486,18.574364,16.495941,2.0784225,1.0528774,1.0255451,,,224.41525207677194,-54.55326519691411,40.8232307959132,-45.64486794089058,,,,,,,,,,,,,
5057431266439158400,86055267,2015.5,53.56053675153424,2.6027412601710607,-28.10804353916994,4.934717909851699,,,,,,,,79,86.79841,0.0,0.0,7,84,60.588469153019226,1.122002264743688,54.00031,21.232391,,,,,,,,224.17898434748733,-54.09340150887278,41.50719073061619,-45.604121713139655,,,,,,,,,,,,,
5057508782008610688,612167721,2015.5,53.386870505109826,0.481599577473615,-27.84728501531832,0.6405895956709359,1.4296216258431427,0.8329834821040016,1.7162665,1.6387102313984183,1.1553024376745993,-4.806617015103328,1.476159725898271,461,488.403,0.0,0.0,18,463,88.58713143534318,0.539789048190303,164.11435,20.819939,21.14704,19.81489,1.3321495,0.32710075,1.0050488,,,223.7002011608833,-54.20693781921665,41.426843783934586,-45.306899893574005,,,,,,,,,,,,,
5057326709756197248,949089216,2015.5,53.1499900908976,0.013155539678459888,-28.404775640720064,0.020154461475453786,2.4577042753984246,0.025843453166218243,95.099686,56.56835245246354,0.03128940243481092,-17.34588903001064,0.043949033724723474,488,995.4184,0.0,0.0,19,470,345114.49030642695,86.87771688323743,3972.4167,11.843458,12.31421,11.239087,1.0751228,0.47075176,0.6043711,67.45499961356353,0.5469007096353974,224.59621962067558,-54.492806426544824,40.87604488785469,-45.760305844459545,100001,5161.4746,5013.6665,5438.0,,,,1.9433758,1.7507575,2.0596504,2.4149241,2.3720214,2.4578269
5057374912172641920,1532409058,2015.5,52.75104493703054,0.08928866402283173,-28.33454882632279,0.1567423964990718,1.2793409112091358,0.2077584620041019,6.1578283,-13.025793425176937,0.20707799882067826,-24.144045970405045,0.3281821083934942,565,780.62134,0.6708520222882721,4.296196288256228,18,612,773.6412539951398,1.0126991611601754,763.9399,18.467016,19.640747,17.33687,2.3038769,1.1737309,1.130146,,,224.39436917510423,-54.83122158420502,40.4386544758558,-45.57395181364882,,,,,,,,,,,,,
5057434423239297920,1602968406,2015.5,53.31097657690807,0.10535065567668393,-28.081758159158102,0.16927395541188817,0.1377323346892279,0.20846421835315038,0.66070014,6.155674838659009,0.2635247236794321,3.025016942317324,0.39472405386186904,528,523.79407,0.0,0.0,17,563,547.8111140247061,0.8365411578629081,654.85254,18.84179,19.46345,18.04758,1.4158688,0.62166023,0.7942085,,,224.08052294507323,-54.307508027102635,41.22404144168596,-45.50488483959502,,,,,,,,,,,,,
5057330072714057216,801484203,2015.5,53.1381863113959,0.1651972251275132,-28.361969135780996,0.25084524609880815,0.04910804471732434,0.335762558041615,0.14625825,3.2485476539983873,0.39647486855457814,3.0054833850920826,0.572007070564864,505,547.364,0.4168573040127347,0.5167799266342039,19,548,301.6518649223969,0.6875205760447471,438.7532,19.489601,20.404016,18.49767,1.9063473,0.91441536,0.9919319,,,224.52077399044816,-54.49731527578648,40.883028612240146,-45.716528186165725,,,,,,,,,,,,,
5057500363873710592,1233005933,2015.5,53.07444300715843,0.9981853457315416,-27.83535723663119,1.8068724321514176,,,,,,,,484,7061.909,10.861140935767693,223.84090170301778,14,513,102.65220555746633,0.6173184691560712,166.28728,20.659945,21.079979,19.143774,1.9362049,0.4200344,1.5161705,,,223.60961499389623,-54.47836853264145,41.063263734458204,-45.20223211885656,,,,,,,,,,,,,
