"Source Name","Association","RA","Dec","Gal l","Gal b","Flux 1-100 GeV(photons cm-2s-1)","+/-","Spectral Index","+/-","Variability Index","Classification","Light Curve(Likelihood)","Spectrum","DataAccess"
"3FGL J0200.3-4108",,"30.0799","-41.1452","262.058","-70.0818","2.81677e-10","6.20643e-11","1.87817","0.165222","46.819","Unassociated","Link","Link","Link"
"3FGL J0203.6+1148",,"30.9169","11.8028","149.514","-47.3066","3.15747e-10","7.87787e-11","2.71452","0.15663","33.051","Unassociated","Link","Link","Link"
"3FGL J0211.0+1922",,"32.7546","19.3833","147.573","-39.6503","3.39501e-10","7.86554e-11","2.38359","0.144613","40.9962","Unassociated","Link","Link","Link"
"3FGL J0212.1+5320",,"33.0371","53.336","134.927","-7.64565","2.70024e-9","1.691e-10","1.95228","0.105009","51.4705","Unassociated","Link","Link","Link"
"3FGL J0216.0+0300",,"34.0134","3.0164","160.324","-53.5976","2.38503e-10","7.00863e-11","2.01377","0.221717","37.6005","Unassociated","Link","Link","Link"
"3FGL J0216.4+0507",,"34.1087","5.1328","158.603","-51.7538","2.75206e-10","7.04378e-11","2.24003","0.184092","49.4601","Unassociated","Link","Link","Link"
"3FGL J0221.1+6059",,"35.2994","60.9969","133.598","-0.00231905","9.20362e-10","1.72734e-10","2.68186","0.0955873","46.5707","Unassociated","Link","Link","Link"
"3FGL J0221.2+2518",,"35.3203","25.3056","147.333","-33.2737","3.3216e-10","7.72456e-11","1.93567","0.168038","38.0357","Unassociated","Link","Link","Link"
"3FGL J0221.8+6138c",,"35.4729","61.6414","133.456","0.631949","1.10756e-9","2.44926e-10","2.41982","0.118061","44.2051","Unassociated","Link","Link","Link"
"3FGL J0223.6+6204",,"35.9061","62.0811","133.496","1.11515","5.66523e-9","4.95829e-10","2.80267","0.129422","41.7721","Unassociated","Link","Link","Link"
"3FGL J0223.6+3927",,"35.9179","39.4527","141.71","-20.0322","4.71568e-10","7.98838e-11","2.40375","0.11417","47.9381","Unassociated","Link","Link","Link"
"3FGL J0224.1-1846",,"36.0477","-18.7816","196.452","-67.1225","3.56864e-10","6.94457e-11","2.40035","0.126714","41.2967","Unassociated","Link","Link","Link"
"3FGL J0224.4+1615",,"36.1143","16.2632","153.125","-41.0915","3.18876e-10","8.14664e-11","2.26184","0.183458","52.5525","Unassociated","Link","Link","Link"
"3FGL J0225.8+6159",,"36.4722","61.987","133.778","1.12068","3.30584e-9","4.07684e-10","2.88211","0.211512","46.6881","Unassociated","Link","Link","Link"
"3FGL J0226.7-4747",,"36.6951","-47.7837","267.303","-62.2162","1.66006e-10","5.43181e-11","2.91865","0.18653","38.049","Unassociated","Link","Link","Link"
"3FGL J0228.5+8213",,"37.1327","82.2222","126.326","19.9984","2.16497e-10","7.35893e-11","2.77156","0.190476","41.3926","Unassociated","Link","Link","Link"
"3FGL J0231.0+1302",,"37.7747","13.0445","157.139","-43.1106","3.29832e-10","7.94885e-11","2.54819","0.151303","52.9318","Unassociated","Link","Link","Link"
"3FGL J0232.6+0646",,"38.1631","6.7717","162.464","-48.1777","2.88597e-10","7.36723e-11","2.66596","0.137388","54.9324","Unassociated","Link","Link","Link"
"3FGL J0233.0+6237",,"38.2689","62.6227","134.319","2.0198","7.3718e-10","1.41013e-10","2.66811","0.118973","62.1798","Unassociated","Link","Link","Link"
"3FGL J0234.2-0629",,"38.5642","-6.4981","177.423","-58.0344","2.39873e-10","6.57883e-11","1.81339","0.19732","35.2506","Unassociated","Link","Link","Link"
"3FGL J0235.7+5647",,"38.9276","56.7867","136.883","-3.23381","6.61804e-10","1.12626e-10","2.60726","0.0955273","60.7941","Unassociated","Link","Link","Link"
"3FGL J0238.0+5237",,"39.5049","52.6256","138.848","-6.92103","1.4757e-9","1.40815e-10","2.13312","0.104653","36.5802","Unassociated","Link","Link","Link"
"3FGL J0239.0+2555",,"39.7679","25.92","151.271","-30.9624","2.5822e-10","7.67005e-11","2.06187","0.24757","26.9644","Unassociated","Link","Link","Link"
"3FGL J0239.4+1326",,"39.8685","13.4428","159.199","-41.6969","4.47772e-10","9.01155e-11","1.99521","0.155767","51.0573","Unassociated","Link","Link","Link"
"3FGL J0240.0-0253",,"40.0007","-2.8994","174.6","-54.4921","2.67315e-10","6.88393e-11","2.43789","0.159535","64.6489","Unassociated","Link","Link","Link"
"3FGL J0242.1-0534",,"40.5316","-5.5696","178.612","-55.9678","2.33715e-10","6.45372e-11","2.48042","0.17778","65.6669","Unassociated","Link","Link","Link"
"3FGL J0244.4+4745",,"41.1231","47.7531","141.852","-10.9224","3.4013e-10","7.83271e-11","2.62429","0.116565","34.6649","Unassociated","Link","Link","Link"
"3FGL J0248.4+5130",,"42.1101","51.514","140.783","-7.25641","1.02012e-9","1.23722e-10","2.06709","0.0942599","33.039","Unassociated","Link","Link","Link"
"3FGL J0251.1-1829",,"42.7971","-18.4857","201.866","-61.1657","1.80755e-10","5.70714e-11","1.61989","0.199222","37.6787","Unassociated","Link","Link","Link"
"3FGL J0254.2+5903",,"43.5587","59.0525","138.153","-0.14139","5.53042e-10","1.30393e-10","2.65857","0.157605","36.0472","Unassociated","Link","Link","Link"
"3FGL J0258.2+3555",,"44.5577","35.9289","149.895","-20.2182","2.57044e-10","7.26414e-11","2.60975","0.167816","40.0812","Unassociated","Link","Link","Link"
"3FGL J0258.9+0552",,"44.7397","5.8759","170.738","-44.8362","6.09765e-10","9.9531e-11","2.12462","0.113867","38.931","Unassociated","Link","Link","Link"
"3FGL J0307.3+4916",,"46.8433","49.2704","144.533","-7.815","1.29477e-9","1.26677e-10","2.09574","0.0658366","53.4759","Unassociated","Link","Link","Link"
"3FGL J0308.4-2852",,"47.103","-28.8734","224.367","-59.8184","1.93227e-10","6.11838e-11","2.53695","0.246384","26.1036","Unassociated","Link","Link","Link"
"3FGL J0312.1-0921",,"48.0408","-9.3593","191.515","-52.362","9.49181e-10","1.23602e-10","1.87163","0.231477","47.5598","Unassociated","Link","Link","Link"
"3FGL J0312.7-2222",,"48.1757","-22.3709","212.36","-57.6824","2.30612e-10","6.00029e-11","1.62477","0.159984","35.8184","Unassociated","Link","Link","Link"
"3FGL J0312.7+2011",,"48.1906","20.1897","162.523","-31.6066","3.33319e-10","8.75257e-11","1.7186","0.167865","44.401","Unassociated","Link","Link","Link"
"3FGL J0318.1+0252",,"49.5362","2.8695","178.445","-43.635","1.22936e-9","1.38746e-10","1.71306","0.217196","50.2197","Unassociated","Link","Link","Link"
"3FGL J0323.7-6038",,"50.943","-60.6398","276.171","-47.8063","2.28615e-10","5.76618e-11","2.43984","0.184814","50.7555","Unassociated","Link","Link","Link"
"3FGL J0324.5-1315",,"51.1467","-13.2558","199.477","-51.675","2.07078e-10","6.25488e-11","2.64693","0.181057","40.068","Unassociated","Link","Link","Link"
"3FGL J0327.4+5828c",,"51.8689","58.477","142.154","1.55415","8.39843e-10","1.50024e-10","2.50175","0.091493","52.9805","Unassociated","Link","Link","Link"
"3FGL J0330.6+0437",,"52.6652","4.6256","179.521","-40.1435","5.75087e-10","9.63352e-11","2.23633","0.107745","61.66","Unassociated","Link","Link","Link"
"3FGL J0332.4+6110",,"53.1208","61.1701","141.139","4.12735","5.40467e-10","1.58889e-10","2.44765","0.276151","47.0921","Unassociated","Link","Link","Link"
"3FGL J0332.4+4644",,"53.1234","46.7358","149.481","-7.66605","4.94895e-10","1.01372e-10","2.46899","0.111568","39.388","Unassociated","Link","Link","Link"
