Ind,source_id,ref_epoch,ra,ra_error,decl,dec_error,parallax,parallax_error,parallax_over_error,frac_para_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_obs_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,visibility_periods_used,phot_g_n_obs,phot_g_mean_flux,phto_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,bp_G,G_rp,radial_velocity,radial_velocity_error,l,b,ecl_lat,ecl_lon,priam_flags,teff_val,teff_percentile_lower,teff_percentile_upper,a_g_val,a_g_percentile_lower,a_g_percentile_upper,radius_val,radius_percentile_upper,radius_percentile_lower,lum_val,lum_percentile_upper,lum_percentile_lower,dist.c,fwhm_lo.c,fwhm_hi.c,sd.c,teff_val.c,sptype.c,project,name
2353324,5057482153212296064,2015.5,53.2364,0.0177161,-28.0304,0.0299442,1.04141,0.0381644,27.2873,0.036647,-0.304053,0.0465457,1.89292,0.0672856,540.0,612.549,0.0,0.0,17.0,591.0,12168.5,3.19131,3813.0,15.4753,15.9534,14.8476,1.10575,0.478113,0.627634,0.0,0.0,223.977,-54.3653,-45.4342,41.1606,100001.0,4906.0,4816.45,4996.0,0.2975,0.1375,0.4791,0.978749,1.01548,0.943803,0.499974,0.542141,0.457806,961.907,922.038,1005.38,35.3894,0.0,K3V,LADUMA,LADUMA
2541470,5057377424729976832,2015.5,52.9095,0.0138497,-28.2976,0.0259799,1.03272,0.0330785,31.2204,0.0320304,-2.20921,0.0319283,-7.30686,0.0500504,557.0,499.805,0.0,0.0,18.0,592.0,19088.6,4.19327,4552.21,14.9864,15.3955,14.4306,0.96497,0.409116,0.555854,0.0,0.0,224.364,-54.688,-45.5872,40.644,100001.0,5424.0,5364.0,5504.0,0.2033,0.1015,0.3331,0.966716,0.988464,0.938818,0.728738,0.784097,0.673379,969.592,934.3,1007.65,31.1484,0.0,G8V,LADUMA,LADUMA
43809,5057494041681733376,2015.5,52.8238,0.0204402,-28.016,0.03415,1.00978,0.0439877,22.9561,0.0435615,11.5704,0.0576037,8.22889,0.0853677,641.0,566.189,0.0,3.19769e-15,18.0,671.0,7859.51,2.43678,3225.36,15.9499,16.4341,15.3161,1.11803,0.484212,0.633821,0.0,0.0,223.863,-54.7237,-45.2967,40.6802,100001.0,4950.61,4907.63,4996.25,0.1255,0.0186,0.2281,0.792465,0.806404,0.778052,0.339851,0.373047,0.306655,992.699,944.133,1046.53,43.4812,0.0,K2.5V,LADUMA,LADUMA
1192400,5057397044140558336,2015.5,52.7847,0.0117154,-28.0796,0.0197969,0.958782,0.0256162,37.4288,0.0267174,6.64755,0.0288014,-9.93428,0.0440454,740.0,1399.06,0.0,0.0,19.0,682.0,430923.0,153.89,2800.2,11.6024,12.1663,10.9282,1.23808,0.563929,0.674155,-30.9103,0.298311,223.963,-54.7669,-45.3447,40.6031,100002.0,4802.77,4760.5,4892.07,0.0,0.0,0.0,6.69092,6.81027,6.44889,21.4602,22.4319,20.4884,1043.91,1012.04,1077.85,27.945,0.0,K3V,LADUMA,LADUMA
1579273,5057381169941463040,2015.5,52.7832,0.0128903,-28.2792,0.0262559,0.941943,0.0303244,31.0622,0.0321935,15.3054,0.0282536,10.3044,0.055343,415.0,365.245,0.0,0.0,14.0,457.0,45961.8,7.57002,6071.56,14.0324,14.3308,13.5572,0.77354,0.298397,0.475143,0.0,0.0,224.306,-54.7957,-45.5317,40.5038,100001.0,5823.0,5520.0,6117.09,0.399,0.2845,0.5358,1.40348,1.56178,1.27177,2.0403,2.19926,1.88134,1062.97,1024.1,1104.92,34.3183,0.0,G2V,LADUMA,LADUMA
1649125,5057396666183436544,2015.5,52.7767,0.00880432,-28.0983,0.0149372,0.938918,0.0192935,48.6649,0.0205487,4.51088,0.0211285,-28.1439,0.0330586,662.0,516.429,0.0,0.0,19.0,681.0,57375.3,8.19443,7001.74,13.7916,14.16,13.261,0.898995,0.368438,0.530558,0.0,0.0,223.994,-54.7764,-45.3598,40.5846,100001.0,5537.53,5399.6,5734.0,0.0,0.0,0.0,1.75811,1.84907,1.63969,2.61849,2.76639,2.47058,1065.6,1040.41,1092.04,21.921,0.0,G7V,LADUMA,LADUMA
2030872,5057472944802427520,2015.5,53.1123,0.0217531,-28.1946,0.0372867,0.922455,0.0448684,20.5591,0.0486402,0.927963,0.0544254,1.55246,0.079464,606.0,562.183,0.0,0.0,19.0,650.0,6402.58,2.25099,2844.34,16.1725,16.6344,15.5569,1.07741,0.461874,0.615537,0.0,0.0,224.23,-54.4969,-45.5514,40.9341,100001.0,5011.25,4958.6,5089.61,0.1235,0.0305,0.2126,0.759019,0.775222,0.735826,0.327328,0.362909,0.291746,1087.15,1028.07,1153.42,53.2253,0.0,K2.5V,LADUMA,LADUMA
2162377,5057473082241378816,2015.5,53.1356,0.017254,-28.1721,0.0281451,0.9168,0.0374078,24.5083,0.0408026,1.64286,0.0466582,-5.3361,0.0644173,542.0,498.203,0.0,0.0,17.0,586.0,10638.8,3.30124,3222.68,15.6211,15.977,15.0918,0.885169,0.35587,0.529299,0.0,0.0,224.196,-54.4734,-45.5372,40.9726,100001.0,5677.52,5363.23,6167.54,0.0833,0.0187,0.1771,0.73321,0.821661,0.621329,0.503252,0.550697,0.455807,1092.92,1042.71,1148.21,44.7973,0.0,G4V,LADUMA,LADUMA
2277755,5057429514093164416,2015.5,53.3658,0.0156955,-28.1925,0.0262068,0.911836,0.032351,28.1857,0.035479,5.22815,0.0423353,-9.80956,0.06746,503.0,501.433,0.0,0.0,18.0,539.0,13023.3,3.70689,3513.26,15.4016,15.7516,14.8875,0.864136,0.350081,0.514054,0.0,0.0,224.28,-54.2754,-45.6255,41.2353,100001.0,5877.49,5661.34,6259.95,0.015,0.008,0.038,0.756413,0.815274,0.666808,0.615148,0.667171,0.563125,1098.33,1054.22,1146.3,39.1007,0.0,G1V,LADUMA,LADUMA
2527230,5057483080925228672,2015.5,53.3427,0.0176363,-28.012,0.0259032,0.901151,0.0344354,26.1693,0.0382127,16.8523,0.0474814,-8.41343,0.0616432,534.0,451.537,0.0,0.0,18.0,564.0,11939.6,3.21288,3716.17,15.4959,15.8975,14.9277,0.969737,0.401597,0.56814,0.0,0.0,223.969,-54.2698,-45.4488,41.2952,100001.0,5351.0,5118.2,5386.0,0.0925,0.017,0.2871,0.904276,0.988408,0.892561,0.603999,0.658256,0.549742,1111.61,1063.65,1164.08,42.6451,0.0,G9V,LADUMA,LADUMA
