level_0,index,Unnamed: 0,NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC,Unnamed: 69
204,1376,1377,B0021-72C,J0024-7204C,00:23:50.3,-72:04:31.5,5.200,-3.100,*,51600.00,311.241,-62.333,*,*,305.923,-44.892,5.959811,-72.075418,0.005757,173.708219,1.504e-15,1.300e-27,*,51600.00,24.60,*,*,0.800,*,TDB,*,1.53,0.60,*,*,*,*,*,*,*,*,*,*,*,*,*,4.69,2.59,-17.36,-3.31,-2.69,6.55,"GC:47Tuc,XRS:[bgh+06]",pksgc,000000200000,1990,*,*,3.37e+01,1.32e+01,*,*,*,*,6.054,134.610,-5.23e-20,-1.75e+09,,*,
206,1404,1405,J1903-7051,J1903-7051,19:03:38.7,-70:51:43.4,-8.800,-16.000,*,56526.00,277.697,-47.848,*,*,324.391,-26.508,285.91164,-70.862073,0.003598,277.940062,-8.060e-16,*,*,56526.00,19.66,*,11.00,*,*,TDB,*,*,0.60,*,ELL1,*,11.0508,9.9389,86.65,2.030e-06,56027.2293,2.026e-06,1.186e-07,0.2847,0.3355,He[kcj+12],0.93,0.93,-8.77,-0.42,-0.48,7.82,GRS:3FGL_J1903.6-7052[aaa+15],FermiAssoc,000020000000,2015,HE[ckr+15],*,*,5.19e-01,5.46e+09,1.96e+08,8.84e+33,1.02e+34,18.260,80.512,7.72e-21,7.38e+09,1.69e+08,3.95e+04,
210,1436,1437,J1543-5149,J1543-5149,15:43:44.1,-51:49:54.6,-4.300,-4.000,*,55522.00,246.134,-31.178,*,*,327.921,2.479,235.933958,-51.831857,0.002057,486.154232,-3.819e-15,*,*,55522.00,50.93,*,0.00,0.270,1.140,TDB,*,*,0.55,*,ELL1,*,8.0608,6.4803,75.70,2.146e-05,54929.0678,2.080e-05,5.300e-06,0.2233,0.2620,He[kjb+12],1.15,1.15,2.20,0.05,-0.61,7.53,*,htru_pks,000010000000,2012,*,*,*,7.27e-01,2.02e+09,1.84e+08,7.33e+34,5.54e+34,5.873,32.019,1.60e-20,2.04e+09,1.83e+08,1.99e+05,
219,1596,1597,J1446-4701,J1446-4701,14:46:35.7,-47:01:26.7,-4.000,-2.000,*,55647.80,234.215,-29.411,*,*,322.5,11.425,221.648808,-47.024102,0.002195,455.644016,-2.037e-15,*,*,55647.80,55.83,*,-9.10,0.100,0.290,TDB,*,*,0.40,*,ELL1,*,0.2777,0.0640,121.43,2.110e-05,55647.8044,1.800e-05,-1.100e-05,0.0190,0.0220,UL[kjb+12],1.57,1.57,11.06,0.31,-0.94,7.28,GRS:2FGL_J1446.8-4701[naa+12],htru_pks,000010000000,2012,HE,*,*,9.86e-01,3.54e+09,1.48e+08,3.66e+34,1.49e+34,4.472,33.288,9.64e-21,3.61e+09,1.47e+08,1.32e+05,
226,1685,1686,J1431-5740,J1431-5740,14:31:03.4,-57:40:11.6,*,*,*,55865.00,236.412,-40.164,*,*,315.962,2.66,217.764564,-57.669908,0.004111,243.276805,-3.800e-16,*,*,55865.00,131.46,*,-50.00,0.176,0.482,TDB,*,*,0.35,*,BT,55461.7900,2.7269,2.2699,95.00,4.300e-06,*,*,*,0.1565,0.1828,He[bbb+13],3.55,3.55,6.10,0.16,-2.47,5.95,*,htru_pks,000010000000,2013,*,*,*,4.42e+00,1.01e+10,1.64e+08,3.65e+33,2.90e+32,*,*,*,*,*,2.22e+04,
231,1793,1794,J1337-6423,J1337-6423,13:37:31.8,-64:23:04.9,-6.000,-7.000,*,55234.70,232.994,-49.14,*,*,307.889,-1.958,204.382846,-64.384699,0.009423,106.118735,-2.780e-16,*,*,55234.70,259.20,*,-135.00,0.730,1.360,TDB,*,*,0.29,*,ELL1,*,4.7853,13.0865,67.18,1.985e-05,55234.7704,1.830e-05,7.700e-06,0.7816,0.9492,CO[kjb+12],5.94,5.94,-8.85,-0.2,-4.69,4.85,*,htru_pks,000010000000,2012,*,*,*,1.02e+01,6.05e+09,4.88e+08,1.16e+33,3.30e+31,9.220,259.635,1.31e-20,1.14e+10,3.56e+08,5.47e+03,
233,1814,1815,J2236-5527,J2236-5527,22:36:51.8,-55:27:48.8,*,*,*,55758.00,315.978,-42.514,*,*,334.166,-52.719,339.216046,-55.463565,0.006908,144.769142,-2.012e-16,*,*,55758.00,20.00,*,27.80,0.195,0.979,TDB,*,*,0.28,*,BT,55472.5510,12.6892,8.7759,350.80,5.020e-05,*,*,*,0.2235,0.2623,He[bbb+13],2.05,2.05,-15.91,-1.63,-0.54,7.38,*,htru_pks,000010000000,2013,*,*,*,1.19e+00,1.14e+10,2.61e+08,1.15e+33,2.74e+32,*,*,*,*,*,7.41e+03,
234,1815,1816,J0101-6422,J0101-6422,01:01:11.1,-64:22:30.1,10.000,-12.000,*,55520.00,328.666,-60.765,*,*,301.192,-52.72,15.296318,-64.375048,0.002573,388.628426,-7.793e-16,*,*,55520.00,11.93,*,*,*,*,TDB,*,*,0.28,*,BT,55162.4012,1.7876,1.7010,*,0.000e+00,*,*,*,0.1553,0.1814,He[kcj+12],1.00,1.00,-9.49,-0.8,-0.52,8.19,"GRS:2FGL_J0101.2-6425[naa+12],XRS:[pb15]",FermiAssoc,000020000000,2012,HE,*,*,2.80e-01,7.90e+09,1.17e+08,1.20e+34,1.20e+34,15.620,74.056,3.63e-21,1.12e+10,9.79e+07,6.42e+04,
236,1833,1834,J1101-6424,J1101-6424,11:01:37.1,-64:24:39.3,*,*,*,56597.00,211.775,-60.55,*,*,291.417,-4.023,165.404968,-64.410926,0.005109,195.722565,-6.895e-17,*,*,56597.00,207.00,*,*,0.540,1.390,TDB,*,*,0.27,*,ELL1,*,9.6117,14.0247,85.53,2.568e-05,55689.0079,2.560e-05,2.000e-06,0.4743,0.5658,CO[ncb+15],2.17,2.17,-14.52,-0.15,-2.02,7.71,*,htru_pks,000010000000,2015,*,*,*,1.27e+00,4.50e+10,9.70e+07,5.33e+32,1.13e+32,*,*,*,*,*,6.82e+03,
237,1870,1871,J1435-6100,J1435-6100,14:35:20.2,-61:00:57.9,*,*,*,51270.00,238.941,-42.977,*,*,315.186,-0.641,218.834485,-61.016099,0.009348,106.975072,-2.800e-16,*,*,51270.00,113.70,*,*,1.100,*,TDB,*,*,0.25,*,ELL1,*,1.3549,6.1840,10.45,1.047e-05,51270.6084,1.900e-06,1.030e-05,0.8837,1.0791,CO[clm+01],2.81,2.81,-1.27,-0.03,-1.98,6.51,*,pksmb,000000040000,2001,*,*,*,1.97e+00,6.05e+09,4.84e+08,1.18e+33,1.50e+32,*,*,*,*,*,5.55e+03,
