NAME,PSRJ,RAJ,DECJ,PMRA,PMDEC,PX,POSEPOCH,ELONG,ELAT,PMELONG,PMELAT,Gl,Gb,RAJD,DECJD,P0,F0,F1,F2,F3,PEPOCH,DM,DM1,RM,W50,W10,UNITS,TAU_SC,S400,S1400,S2000,BINARY,T0,PB,A1,OM,ECC,TASC,EPS1,EPS2,Minimum,Median,BINCOMP,DIST,DIST_DM,DM*sin(b),ZZ,XX,YY,ASSOC,SURVEY,OSURVEY,DISC.,PSR,NGLT,R_LUM,R_LUM14,AGE,BSURF,EDOT,EDOTD2,PMTOT,VTRANS,P1_I,AGE_I,BSURF_I,B_LC
B0823+26,J0826+2637,08:26:51.3,+26:37:23.7,61.000,-90.000,2.800,46450.00,122.598,7.243,*,*,196.963,31.742,126.714097,26.623275,0.530661,1.884444,-6.070e-15,1.500e-26,*,46450.00,19.48,*,5.38,5.800,12.400,TDB,0.00,73.00,10.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.32,0.31,10.25,0.17,-0.08,8.76,*,"gb1,ar4,gb4",30020,1968,HE[bwt+04],*,7.48e+00,1.02e+00,4.92e+06,9.64e+11,4.52e+32,4.41e+33,108.724,164.947,1.70e-15,4.93e+06,9.62e+11,6.05e+01
B0833-45,J0835-4510,08:35:20.6,-45:10:34.8,-49.680,29.900,3.500,51544.00,153.37,-60.362,*,*,263.552,-2.787,128.835881,-45.176354,0.089328,11.19465,-1.567e-11,1.028e-21,*,51559.32,67.97,0.005,31.38,2.100,4.500,TDB,0.00,5000.00,1100.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.28,0.33,-3.31,-0.01,-0.28,8.53,"SNR:Vela,GRS:2FGL_J0835.3-4510[naa+12],G","mol1,mol2,pks70,pksmb,htru_pks",10044011,1968,"HE[hg73,tfko75]",19,3.92e+02,8.62e+01,1.13e+04,3.38e+12,6.92e+36,8.83e+37,57.984,76.972,1.25e-13,1.13e+04,3.38e+12,4.45e+04
B0834+06,J0837+0610,08:37:05.6,+06:10:14.5,2.000,51.000,*,48721.00,130.043,-11.977,*,*,219.721,26.272,129.273508,6.170711,1.273768,0.785072,-4.191e-15,9.600e-29,*,48721.00,12.86,*,25.32,23.900,33.900,TDB,0.00,89.00,4.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.19,0.19,5.69,0.08,-0.11,8.63,*,"misc,mol2,gb2,gb4",410050,1968,*,*,3.21e+00,1.44e-01,2.97e+06,2.98e+12,1.30e+32,3.60e+33,51.039,45.975,6.80e-15,2.97e+06,2.98e+12,1.35e+01
B0835-41,J0837-4135,08:37:21.1,-41:35:14.3,-2.300,-18.000,*,52340.00,150.641,-57.044,*,*,260.904,-0.336,129.338257,-41.587325,0.751624,1.330453,-6.265e-15,*,*,51700.00,147.29,*,145.00,8.900,18.000,TDB,0.00,197.00,16.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.50,1.43,-0.86,-0.01,-1.48,8.74,*,"mol1,mol2,pks70,pksmb,pkshl,htru_pk",11044011,1968,*,*,4.43e+02,3.60e+01,3.36e+06,1.65e+12,3.29e+32,1.46e+32,18.146,129.047,3.54e-15,3.37e+06,1.65e+12,3.64e+01
B0839-53,J0840-5332,08:40:33.8,-53:32:35.5,*,*,*,47728.43,165.814,-66.726,*,*,270.774,-7.143,130.141167,-53.543194,0.720612,1.387709,-3.166e-15,*,*,47728.43,156.50,*,81.00,23.000,40.000,TDB,0.00,19.00,2.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0.57,0.57,-19.46,-0.07,-0.57,8.49,*,"mol2,pks70,pkssw,htru_pks,ghrss",4010104010,1978,*,*,6.17e+00,6.50e-01,6.94e+06,1.10e+12,1.73e+32,5.34e+32,*,*,*,*,*,2.76e+01
B0844-35,J0846-3533,08:46:06.0,-35:33:40.7,93.000,-15.000,*,48719.00,148.736,-50.882,*,*,257.19,4.71,131.525252,-35.561292,1.116097,0.895979,-1.286e-15,9.300e-28,*,48719.00,94.16,*,136.50,22.000,76.000,TDB,0.00,16.00,2.70,*,*,*,*,*,*,*,*,*,*,*,*,*,0.54,0.54,7.73,0.04,-0.52,8.62,*,"mol2,pks70,pkshl,pksmb,htru_pks",11044010,1978,*,*,4.67e+00,7.87e-01,1.10e+07,1.35e+12,4.55e+31,1.56e+32,94.202,241.168,1.59e-15,1.11e+07,1.35e+12,9.12e+00
J0900-3144,J0900-3144,09:00:43.9,-31:44:30.8,-1.010,2.020,0.770,55000.00,150.545,-46.147,*,*,256.162,9.486,135.183138,-31.741915,0.01111,90.011842,-3.960e-16,*,*,55000.00,75.71,*,82.00,0.800,3.500,TCB,*,*,3.80,*,ELL1,*,18.7376,17.2488,70.41,1.049e-05,52678.6303,9.883e-06,3.517e-06,0.3577,0.4236,CO(?)[bjd+06],0.89,0.38,12.48,0.15,-0.85,8.71,*,"pkshl,htru_pks",11000000,2006,*,*,*,3.01e+00,3.60e+09,7.46e+08,1.41e+33,1.78e+33,2.258,9.529,4.88e-20,3.61e+09,7.45e+08,5.10e+03
B0905-51,J0907-5157,09:07:15.9,-51:57:59.2,*,*,*,46917.00,170.704,-62.92,*,*,272.15,-3.031,136.81625,-51.966458,0.253556,3.943902,-2.847e-14,*,*,46800.00,103.72,*,-23.30,13.000,24.000,TDB,0.00,35.00,9.30,*,*,*,*,*,*,*,*,*,*,*,*,*,0.34,0.34,-5.48,-0.02,-0.34,8.49,*,"mol2,pks1,pks70,pksmb,htru_pks,ghrs",4010045010,1978,*,*,4.05e+00,1.08e+00,2.19e+06,6.89e+11,4.43e+33,3.83e+34,*,*,*,*,*,3.96e+02
B0906-17,J0908-1739,09:08:38.1,-17:39:37.6,27.000,-40.000,*,48737.00,145.859,-32.416,*,*,246.119,19.85,137.159092,-17.660464,0.401626,2.489881,-4.151e-15,1.100e-27,*,48737.00,15.88,*,-32.10,9.500,23.700,TDB,0.00,16.00,3.20,*,*,*,*,*,*,*,*,*,*,*,*,*,0.80,0.80,5.39,0.27,-0.69,8.8,*,"mol2,gb2,pks70,pkshl",1004050,1978,*,*,1.02e+01,2.05e+00,9.50e+06,5.25e+11,4.08e+32,6.37e+32,48.260,183.038,6.68e-16,9.53e+06,5.24e+11,7.59e+01
B0906-49,J0908-4913,09:08:35.5,-49:13:06.5,*,*,*,46546.28,167.476,-60.625,*,*,270.266,-1.019,137.148042,-49.218472,0.106755,9.367279,-1.329e-12,*,*,46546.28,180.37,-0.038,10.00,2.800,56.000,TDB,0.00,28.00,10.00,*,*,*,*,*,*,*,*,*,*,*,*,*,1.00,1.02,-3.21,-0.02,-1.0,8.5,*,"misc,pks1,pks70,pksmb,htru_pks",10445000,1988,*,*,2.80e+01,1.00e+01,1.12e+05,1.29e+12,4.92e+35,4.92e+35,*,*,*,*,*,9.92e+03
B0919+06,J0922+0638,09:22:14.0,+06:38:23.3,18.800,86.400,0.830,48227.00,140.83,-8.333,*,*,225.42,36.392,140.558425,6.639806,0.430627,2.322195,-7.404e-14,1.800e-24,*,55140.16,27.30,*,29.20,10.500,24.400,TDB,0.00,52.00,4.20,*,*,*,*,*,*,*,*,*,*,*,*,*,1.10,1.91,16.20,0.65,-0.63,9.12,XRS:[pb15],"mol2,ar4,pkshl,gb4",1030010,1978,*,1,6.29e+01,5.08e+00,4.97e+05,2.46e+12,6.79e+33,5.61e+33,88.422,461.125,1.37e-14,4.97e+05,2.46e+12,2.89e+02
B0923-58,J0924-5814,09:24:31.0,-58:14:06.4,*,*,*,47728.45,184.893,-65.71,*,*,278.395,-5.595,141.129167,-58.235111,0.739501,1.352263,-8.920e-15,*,*,47728.45,57.40,*,-45.00,41.000,80.000,TDB,0.00,22.00,4.30,*,*,*,*,*,*,*,*,*,*,*,*,*,0.11,0.11,-5.60,-0.01,-0.11,8.48,*,"mol2,pks70,pksmb,htru_pks",10044010,1978,*,*,2.66e-01,5.20e-02,2.40e+06,1.92e+12,4.76e+32,3.94e+34,*,*,*,*,*,4.46e+01
